row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2022,Quá hạn > Ngày 31 tháng 12 năm 2022,Không chịu lãi suất > Ngày 31 tháng 12 năm 2022,Dưới 1 tháng > Ngày 31 tháng 12 năm 2022,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2022,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2022,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2022,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2022,Trên 5 năm > Ngày 31 tháng 12 năm 2022,Tổng cộng > Ngày 31 tháng 12 năm 2022,numeric__Quá hạn > Ngày 31 tháng 12 năm 2022,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2022,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2022,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2022,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2022,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2022
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.992.582,32.338.637,107.073.286,139.255.127,43.441.120,36.586.353,16.988.787,22.222.657,406.898.549,8992582.0,32338637.0,107073286.0,139255127.0,43441120.0,36586353.0,16988787.0,22222657.0,406898549.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.779.197,2.042.061,-,-,-,-,10.821.258,,,8779197.0,2042061.0,,,,,10821258.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,46.396.069,20.750.525,12.053.415,8.247.380,1.042.222,-,88.489.611,,,46396069.0,20750525.0,12053415.0,8247380.0,1042222.0,,88489611.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,268.648,53.652.970,43.790.834,81.280.785,34.595.698,2.208.185,54,215.797.174,,268648.0,53652970.0,43790834.0,81280785.0,34595698.0,2208185.0,54.0,215797174.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính,Các công cụ tài chính phải sinh và các khoản nợ tài chính,-,164.660,-,-,-,-,-,-,164.660,,164660.0,,,,,,,164660.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,810,2.796.946,-,-,-,62.399,2.860.155,,,810.0,2796946.0,,,,62399.0,2860155.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,341.000,3.555.625,8.863.761,27.913.254,-,40.673.640,,,,341000.0,3555625.0,8863761.0,27913254.0,,40673640.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,9.347.574,-,-,-,-,-,-,9.347.574,,9347574.0,,,,,,,9347574.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,9.780.882,108.829.046,69.721.366,96.889.825,51.706.839,31.163.661,62.453,368.154.072,,9780882.0,108829046.0,69721366.0,96889825.0,51706839.0,31163661.0,62453.0,368154072.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,8.992.582,22.557.755,(1.755.760),69.533.761,(53.448.705),(15.120.486),(14.174.874),22.160.204,38.744.477,8992582.0,22557755.0,-1755760.0,69533761.0,-53448705.0,-15120486.0,-14174874.0,22160204.0,38744477.0
