row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2021,01/01/2021,numeric__Mã số,numeric__TM,numeric__31/12/2021,numeric__01/01/2021
Thuế và các khoản khác phải thu nhà nước,Thuế và các khoản khác phải thu nhà nước,Thuế và các khoản khác phải thu nhà nước,153,5.13,39.799.768.169,477.808.230,153.0,513.0,39799768169.0,477808230.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,14.582.703.283.029,16.563.794.695.501,200.0,,14582703283029.0,16563794695501.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,12.365.128.994,11.229.974.268,210.0,,12365128994.0,11229974268.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.4,12.365.128.994,11.229.974.268,216.0,54.0,12365128994.0,11229974268.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,,-,-,219.0,,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,12.860.493.333.269,14.542.939.662.560,220.0,,12860493333269.0,14542939662560.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,5.8,12.801.064.823.922,14.507.064.948.688,221.0,58.0,12801064823922.0,14507064948688.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,33.827.511.568.805,33.526.079.594.914,222.0,,33827511568805.0,33526079594914.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),223,,(21.026.446.744.883),(19.019.014.646.226),223.0,,-21026446744883.0,-19019014646226.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,5.9,59.428.509.347,35.874.713.872,227.0,59.0,59428509347.0,35874713872.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,72.443.352.371,49.913.314.429,228.0,,72443352371.0,49913314429.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),229,,(13.014.843.024),(14.038.600.557),229.0,,-13014843024.0,-14038600557.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.7,110.769.059.367,141.846.826.075,240.0,57.0,110769059367.0,141846826075.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,898.025.842,1.053.494.656,241.0,,898025842.0,1053494656.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,109.871.033.525,140.793.331.419,242.0,,109871033525.0,140793331419.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,1.224.938.734.159,1.224.938.734.159,250.0,52.0,1224938734159.0,1224938734159.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.224.938.734.159,253.0,,1224938734159.0,1224938734159.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,374.137.027.240,642.839.498.439,260.0,,374137027240.0,642839498439.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.10,204.397.796.595,469.014.901.923,261.0,510.0,204397796595.0,469014901923.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,169.739.230.645,173.824.596.516,263.0,,169739230645.0,173824596516.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,18.772.708.004.009,20.080.779.446.928,270.0,,18772708004009.0,20080779446928.0
