row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị dụng cụ quản lý,Vườn cây,Tài sản khác (Dự án BOT),Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn",numeric__Thiết bị dụng cụ quản lý,numeric__Vườn cây,numeric__Tài sản khác (Dự án BOT),numeric__Cộng
Trong đó: TSCĐ Đã khấu hao hết nhưng,Trong đó: TSCĐ Đã khấu hao hết nhưng,Trong đó: TSCĐ Đã khấu hao hết nhưng,-,-,-,-,-,,-,,,,,,,
II Giá tri hao mòn lũy kế,II Giá tri hao mòn lũy kế,II Giá tri hao mòn lũy kế,,,,,,,,,,,,,,
1 Số dư đầu năm,II Giá tri hao mòn lũy kế > 1 Số dư đầu năm,1 Số dư đầu năm,210.344.370.230,628.148.361.014,39.915.486.613,97.446.847.478,259.612.551.809,436.050.154.319,1.671.517.771.463,210344370230.0,628148361014.0,39915486613.0,97446847478.0,259612551809.0,436050154319.0,1671517771463.0
2. Tăng trong năm,II Giá tri hao mòn lũy kế > 2. Tăng trong năm,2. Tăng trong năm,23.622.638.833,25.772.194.225,2.374.033.401,733.153.116,17.706.907.633,84.736.814.837,154.945.742.045,23622638833.0,25772194225.0,2374033401.0,733153116.0,17706907633.0,84736814837.0,154945742045.0
- Khấu hao trong năm,II Giá tri hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,23.622.638.833,25.748.808.033,2.374.033.401,733.153.116,17.706.907.633,84.416.814.837,154.602.355.853,23622638833.0,25748808033.0,2374033401.0,733153116.0,17706907633.0,84416814837.0,154602355853.0
- Tăng khác,II Giá tri hao mòn lũy kế > - Tăng khác,- Tăng khác,-,23.386.192,-,-,-,320.000.000,343.386.192,,23386192.0,,,,320000000.0,343386192.0
3. Giảm trong năm,II Giá tri hao mòn lũy kế > 3. Giảm trong năm,3. Giảm trong năm,(106.539.301.069),(45.435.276.068),(16.061.760.645),(3.597.237.823),(250.451.518.989),-,(422.085.094.594),-106539301069.0,-45435276068.0,-16061760645.0,-3597237823.0,-250451518989.0,,-422085094594.0
"- Thanh lý, nhượng bán","II Giá tri hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(693.191.940),(6.193.763.146),-,-,-,(6.886.955.086),,-693191940.0,-6193763146.0,,,,-6886955086.0
- Chênh lệch do chuyên đối BCTC,II Giá tri hao mòn lũy kế > - Chênh lệch do chuyên đối BCTC,- Chênh lệch do chuyên đối BCTC,(728.142.494),(18.854.976.239),(229.944.072),(3.078.416.955),-,-,(22.891.479.760),-728142494.0,-18854976239.0,-229944072.0,-3078416955.0,,,-22891479760.0
- Giảm do thoái vốn công tv con cấp 2,II Giá tri hao mòn lũy kế > - Giảm do thoái vốn công tv con cấp 2,- Giảm do thoái vốn công tv con cấp 2,(105.787.772.383),(25.887.107.889),(9.638.053.427),(198.820.868),(250.451.518.989),-,(391.963.273.556),-105787772383.0,-25887107889.0,-9638053427.0,-198820868.0,-250451518989.0,,-391963273556.0
- Giảm khác,II Giá tri hao mòn lũy kế > - Giảm khác,- Giảm khác,(23.386.192),-,-,(320.000.000),-,-,(343.386.192),-23386192.0,,,-320000000.0,,,-343386192.0
4. Số dư cuối năm,II Giá tri hao mòn lũy kế > 4. Số dư cuối năm,4. Số dư cuối năm,127.427.707.994,608.485.279.171,26.227.759.369,94.582.762.771,26.867.940.453,520.786.969.156,1.404.378.418.914,127427707994.0,608485279171.0,26227759369.0,94582762771.0,26867940453.0,520786969156.0,1404378418914.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,,,,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,550.695.009.664,295.495.099.059,17.626.928.173,2.425.092.086,286.687.674.397,1.990.062.555.094,3.142.992.358.473,550695009664.0,295495099059.0,17626928173.0,2425092086.0,286687674397.0,1990062555094.0,3142992358473.0
2. Tại ngày cuối năm,III. Giá trị còn lại > 2. Tại ngày cuối năm,2. Tại ngày cuối năm,472.640.044.032,267.721.516.946,2.995.897.298,2.070.239.924,149.629.641.002,1.905.645.740.257,2.800.703.079.459,472640044032.0,267721516946.0,2995897298.0,2070239924.0,149629641002.0,1905645740257.0,2800703079459.0
