row_label_raw,row_label_full,(*) Thông tin trình bày bổ sung chi tiết các khoản vay ngắn hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - Chi nhánh An Giang,160.706.748.200,181.724.435.000,160706748200.0,181724435000.0
Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),Ngân hàng TNHH MTV United Overseas Bank (Việt Nam),49.303.324.400,48.108.913.600,49303324400.0,48108913600.0
Ngân hàng Sinopac - CN Hồ Chí Minh,Ngân hàng Sinopac - CN Hồ Chí Minh,Ngân hàng Sinopac - CN Hồ Chí Minh,47.645.600.000,48.013.000.000,47645600000.0,48013000000.0
Ngân hàng First Commercial - CN Hồ Chí Minh,Ngân hàng First Commercial - CN Hồ Chí Minh,Ngân hàng First Commercial - CN Hồ Chí Minh,135.546.983.300,90.776.990.000,135546983300.0,90776990000.0
Ngân hàng Woori Việt Nam - CN Hà Nam,Ngân hàng Woori Việt Nam - CN Hà Nam,Ngân hàng Woori Việt Nam - CN Hà Nam,199.366.048.600,164.997.998.800,199366048600.0,164997998800.0
Ngân hàng TMCP Hàng Hải Việt Nam Cần Thơ,Ngân hàng TMCP Hàng Hải Việt Nam Cần Thơ,Ngân hàng TMCP Hàng Hải Việt Nam Cần Thơ,43.600.009.596,4.937.000.000,43600009596.0,4937000000.0
Ngân hàng TMCP Nam Á Cần Thơ,Ngân hàng TMCP Nam Á Cần Thơ,Ngân hàng TMCP Nam Á Cần Thơ,33.607.230.300,12.210.000.000,33607230300.0,12210000000.0
Ngân hàng TMCP Ngoại Thương VN - CN Đồng Tháp,Ngân hàng TMCP Ngoại Thương VN - CN Đồng Tháp,Ngân hàng TMCP Ngoại Thương VN - CN Đồng Tháp,30.000.000.000,29.979.512.000,30000000000.0,29979512000.0
Ngân hàng Ngoại Thương,Ngân hàng Ngoại Thương,Ngân hàng Ngoại Thương,9.993.939.337,9.543.357.730,9993939337.0,9543357730.0
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Ngân hàng BPCE IOM - CN TP. Hồ Chí Minh,Ngân hàng BPCE IOM - CN TP. Hồ Chí Minh,Ngân hàng BPCE IOM - CN TP. Hồ Chí Minh,46.882.493.584,46.503.369.526,46882493584.0,46503369526.0
Ngân Hàng TNHH MTV Woori Bank - CN Hà Nam,Ngân Hàng TNHH MTV Woori Bank - CN Hà Nam,Ngân Hàng TNHH MTV Woori Bank - CN Hà Nam,36.560.187.200,,36560187200.0,
Ngân hàng TMCP Công Thương Việt Nam - CN Đồng Tháp,Ngân hàng TMCP Công Thương Việt Nam - CN Đồng Tháp,Ngân hàng TMCP Công Thương Việt Nam - CN Đồng Tháp,66.687.621.618,64.943.276.833,66687621618.0,64943276833.0
Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,Ngân hàng TMCP Việt Nam Thịnh Vượng - CN An Giang,139.342.718.570,130.841.535.086,139342718570.0,130841535086.0
Ngân hàng TNHH Indovina - CN Đồng Nai,Ngân hàng TNHH Indovina - CN Đồng Nai,Ngân hàng TNHH Indovina - CN Đồng Nai,72.407.262.991,91.391.146.545,72407262991.0,91391146545.0
