row_label_raw,row_label_full,col_0,Mối quan hệ,Từ ngày 01/11/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/10/2018,numeric__Mối quan hệ,numeric__Từ ngày 01/11/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 31/10/2018
Số dư tại ngày kết thúc ký kế toán:,Số dư tại ngày kết thúc ký kế toán:,Số dư tại ngày kết thúc ký kế toán:,Số dư tại ngày kết thúc ký kế toán:,Số dư tại ngày kết thúc ký kế toán:,Số dư tại ngày kết thúc ký kế toán:,,,
,,,Mối quan hệ,31/12/2018,01/11/2018,,,
,,,Mối quan hệ,VND,VND,,,
Phải thu ngắn hạn khách hàng,Số dư tại ngày kết thúc ký kế toán: > Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,67.727.400.000,67.727.400.000,,67727400000.0,67727400000.0
- Công Ty TNHH Phát Triển,Số dư tại ngày kết thúc ký kế toán: > - Công Ty TNHH Phát Triển,- Công Ty TNHH Phát Triển,Cổ đông góp vốn,67.727.400.000,67.727.400.000,,67727400000.0,67727400000.0
Phải thu về cho vay,Số dư tại ngày kết thúc ký kế toán: > Phải thu về cho vay,Phải thu về cho vay,,137.373.572.029,275.454.517.999,,137373572029.0,275454517999.0
- Công ty CP Đầu Tư & Phát Triển Tân Thành,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP Đầu Tư & Phát Triển Tân Thành,- Công ty CP Đầu Tư & Phát Triển Tân Thành,Công ty liên kết,107.347.102.061,98.347.102.061,,107347102061.0,98347102061.0
- Công ty TNHH YCH-PROTRADE,Số dư tại ngày kết thúc ký kế toán: > - Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Công ty liên kết,17.026.469.968,17.107.415.938,,17026469968.0,17107415938.0
- Công ty CP Hưng Vượng,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,-,120.000.000.000,,,120000000000.0
- Công ty CP May mặc Bình Dương,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,-,27.000.000.000,,,27000000000.0
- Công ty CP Cao su Dầu Tiếng Việt Lào,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty liên kết,13.000.000.000,13.000.000.000,,13000000000.0,13000000000.0
Phải thu ngắn hạn khác,Số dư tại ngày kết thúc ký kế toán: > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,10.205.244.453,8.120.448.335,,10205244453.0,8120448335.0
- Công ty CP Đầu tư và Phát triển Tân Thành,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,4.207.111.119,2.827.127.946,,4207111119.0,2827127946.0
- Công ty CP May mặc Bình Dương,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,7.101.370,7.101.370,,7101370.0,7101370.0
- Công ty CP Hưng Vượng,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,5.991.031.964,5.286.219.019,,5991031964.0,5286219019.0
Phải thu dài hạn khác,Số dư tại ngày kết thúc ký kế toán: > Phải thu dài hạn khác,Phải thu dài hạn khác,,286.527.528.834,320.790.440.646,,286527528834.0,320790440646.0
- Công ty CP Hưng Vượng,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,286.527.528.834,320.790.440.646,,286527528834.0,320790440646.0
Phải trả người bán,Số dư tại ngày kết thúc ký kế toán: > Phải trả người bán,Phải trả người bán,,2.667.687.682,231.187.449,,2667687682.0,231187449.0
- Công Ty TNHH MTV Đầu Tư và Quản Lý Dự án Bình Dương,Số dư tại ngày kết thúc ký kế toán: > - Công Ty TNHH MTV Đầu Tư và Quản Lý Dự án Bình Dương,- Công Ty TNHH MTV Đầu Tư và Quản Lý Dự án Bình Dương,Cổ đông Nhà Nước,2.454.789.996,-,,2454789996.0,
- Công ty CP phát triển Phú Mỹ,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP phát triển Phú Mỹ,- Công ty CP phát triển Phú Mỹ,Công ty liên kết,212.897.686,231.187.449,,212897686.0,231187449.0
Phải trả khác ngắn hạn,Số dư tại ngày kết thúc ký kế toán: > Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,,1.084.153.495.998,1.084.153.495.998,,1084153495998.0,1084153495998.0
- Tinh ủy Bình Dương,Số dư tại ngày kết thúc ký kế toán: > - Tinh ủy Bình Dương,- Tinh ủy Bình Dương,Cổ đông Nhà Nước,1.083.181.968.957,1.083.181.968.957,,1083181968957.0,1083181968957.0
- Công ty CP May mặc Bình Dương,Số dư tại ngày kết thúc ký kế toán: > - Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,971.527.041,971.527.041,,971527041.0,971527041.0
