row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,32.501.705.783,17.868.964.518,151.0,11.0,32501705783.0,17868964518.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,194.016.386.385,53.728.777.815,152.0,,194016386385.0,53728777815.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,19,73.039.213.886,33.158.010.187,153.0,19.0,73039213886.0,33158010187.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,22.259.856.917.460,22.819.792.141.215,200.0,,22259856917460.0,22819792141215.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,321.162.713.296,352.941.856.676,210.0,,321162713296.0,352941856676.0
1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,1. Phải thu dài hạn của khách hàng,211,6,6.300.000.200,-,211.0,6.0,6300000200.0,
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,8,314.862.713.096,352.941.856.676,216.0,8.0,314862713096.0,352941856676.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,18.378.605.420.364,18.989.231.356.738,220.0,,18378605420364.0,18989231356738.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,18.375.300.653.351,18.987.853.462.199,221.0,12.0,18375300653351.0,18987853462199.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,40.099.569.582.515,36.768.825.851.976,222.0,,40099569582515.0,36768825851976.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(21.724.268.929.164),(17.780.972.389.777),223.0,,-21724268929164.0,-17780972389777.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,3.304.767.013,1.377.894.539,227.0,13.0,3304767013.0,1377894539.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,18.575.451.988,14.964.055.361,228.0,,18575451988.0,14964055361.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(15.270.684.975),(13.586.160.822),229.0,,-15270684975.0,-13586160822.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,591.404.310.929,635.700.153.017,240.0,,591404310929.0,635700153017.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,14,591.404.310.929,635.700.153.017,242.0,14.0,591404310929.0,635700153017.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,2.791.368.801.651,2.695.061.532.587,250.0,,2791368801651.0,2695061532587.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,15,2.607.868.801.651,2.511.561.532.587,252.0,15.0,2607868801651.0,2511561532587.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,16,184.800.000.000,184.800.000.000,253.0,16.0,184800000000.0,184800000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,,(1.300.000.000),(1.300.000.000),254.0,,-1300000000.0,-1300000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,177.315.671.220,146.857.242.197,260.0,,177315671220.0,146857242197.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,69.369.206.943,57.906.125.494,261.0,11.0,69369206943.0,57906125494.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,17,107.946.464.277,88.951.116.703,262.0,17.0,107946464277.0,88951116703.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,53.523.988.091.378,49.162.925.380.362,270.0,,53523988091378.0,49162925380362.0
