row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lại,Đã trình bày trên báo cáo năm trước,numeric__Mã số,numeric__Đã điều chỉnh lại,numeric__Đã trình bày trên báo cáo năm trước
b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng,,,
- Doanh thu bán hàng và cung cấp dịch vụ,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Doanh thu bán hàng và cung cấp dịch vụ,- Doanh thu bán hàng và cung cấp dịch vụ,01,3.972.680.366.196,3.973.722.089.055,1.0,3972680366196.0,3973722089055.0
- Giá vốn hàng bán,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Giá vốn hàng bán,- Giá vốn hàng bán,11,2.980.293.060.340,3.002.312.843.176,11.0,2980293060340.0,3002312843176.0
- Chi phí bán hàng,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Chi phí bán hàng,- Chi phí bán hàng,25,129.170.484.945,129.410.674.918,25.0,129170484945.0,129410674918.0
- Chi phí quản lý doanh nghiệp,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,26,435.006.765.458,439.564.487.527,26.0,435006765458.0,439564487527.0
- Thu nhập khác,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Thu nhập khác,- Thu nhập khác,31,53.664.678.530,52.165.879.031,31.0,53664678530.0,52165879031.0
- Chi phí khác,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Chi phí khác,- Chi phí khác,32,72.517.033.123,72.188.131.915,32.0,72517033123.0,72188131915.0
- Tổng lợi nhuận kế toán trước thuế,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Tổng lợi nhuận kế toán trước thuế,- Tổng lợi nhuận kế toán trước thuế,50,593.466.491.245,566.520.620.935,50.0,593466491245.0,566520620935.0
- Chi phí thuế thu nhập doanh nghiệp hiện hành,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Chi phí thuế thu nhập doanh nghiệp hiện hành,- Chi phí thuế thu nhập doanh nghiệp hiện hành,51,101.109.864.759,94.955.905.835,51.0,101109864759.0,94955905835.0
- Lợi nhuận sau thuế thu nhập doanh nghiệp,b/ Báo cáo Kết quả hoạt động kinh doanh riêng > - Lợi nhuận sau thuế thu nhập doanh nghiệp,- Lợi nhuận sau thuế thu nhập doanh nghiệp,60,492.356.626.486,471.564.715.100,60.0,492356626486.0,471564715100.0
