row_label_raw,row_label_full,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_1,numeric__(**): Thuyết minh tiền hỗ trợ lãi suất chờ Nhà nước thanh toán:_2
15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,15. Các khoản nợ Chính phủ và Ngân hàng Nhà nước: Không phát sinh.,,
16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,16. Tiền gửi và vay các TCTD khác,,
,,,31/12/2021,31/12/2020,,
16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,16.1. Tiền gửi của các TCTD khác,,
a. Tiền gửi không kỳ hạn,16.1. Tiền gửi của các TCTD khác > a. Tiền gửi không kỳ hạn,a. Tiền gửi không kỳ hạn,42.737,104.829,42737.0,104829.0
- Bằng VND,16.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,42.729,103.982,42729.0,103982.0
- Bằng ngoại tệ,16.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,8,847,8.0,847.0
b. Tiền gửi có kỳ hạn,16.1. Tiền gửi của các TCTD khác > b. Tiền gửi có kỳ hạn,b. Tiền gửi có kỳ hạn,2.298.124,1.546.640,2298124.0,1546640.0
- Bằng VND,16.1. Tiền gửi của các TCTD khác > - Bằng VND,- Bằng VND,420.000,460.000,420000.0,460000.0
- Bằng ngoại tệ,16.1. Tiền gửi của các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,1.878.124,1.086.640,1878124.0,1086640.0
Cộng,16.1. Tiền gửi của các TCTD khác > Cộng,Cộng,2.340.861,1.651.469,2340861.0,1651469.0
16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,16.2. Vay các TCTD khác,,
- Bằng VND,16.2. Vay các TCTD khác > - Bằng VND,- Bằng VND,741,870,741.0,870.0
+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,16.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (*) -CN SGD 3,741,870,741.0,870.0
- Bằng ngoại tệ,16.2. Vay các TCTD khác > - Bằng ngoại tệ,- Bằng ngoại tệ,1.429,1.640,1429.0,1640.0
+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (**) -CN SGD 3,16.2. Vay các TCTD khác > + Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (**) -CN SGD 3,+ Ngân hàng TMCP Đầu tư và Phát Triển Việt Nam (**) -CN SGD 3,1.429,1.640,1429.0,1640.0
Cộng,16.2. Vay các TCTD khác > Cộng,Cộng,2.170,2.510,2170.0,2510.0
Tổng cộng tiền gửi và vay TCTD khác,16.2. Vay các TCTD khác > Tổng cộng tiền gửi và vay TCTD khác,Tổng cộng tiền gửi và vay TCTD khác,2.343.031,1.653.979,2343031.0,1653979.0
