row_label_raw,row_label_full,CHỈ TIỀU,Mã số TM,2019,2018,numeric__Mã số TM,numeric__2019,numeric__2018
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác","LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua công cụ nợ của đơn vị khác","Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(1.454.000.000.000),(725.000.000.000),23.0,-1454000000000.0,-725000000000.0
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,444.394.393.539,829.053.932.873,24.0,444394393539.0,829053932873.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,-,(128.813.773.880),25.0,,-128813773880.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,169.769.715.257,25.514.466.112,27.0,169769715257.0,25514466112.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(917.166.309.348),(68.723.015.125),30.0,-917166309348.0,-68723015125.0
LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
Tiền thu từ đi vay,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33 7.1,1.579.356.570.034,741.780.860.000,,1579356570034.0,741780860000.0
Tiền trả nợ gốc vay,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34 7.2,(2.508.570.471.127),(2.135.073.180.593),,-2508570471127.0,-2135073180593.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(373.341.294.000),(203.883.492.000),36.0,-373341294000.0,-203883492000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.302.555.195.093),(1.597.175.812.593),40.0,-1302555195093.0,-1597175812593.0
LUỰU CHUYÊN TIỀN THUẦN TRONG KỸ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > LUỰU CHUYÊN TIỀN THUẦN TRONG KỸ,LUỰU CHUYÊN TIỀN THUẦN TRONG KỸ,50,(70.357.569.190),208.484.075.336,50.0,-70357569190.0,208484075336.0
Tiền và tương đương tiền đầu kỳ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,300.087.599.256,91.603.523.920,60.0,300087599256.0,91603523920.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,-,-,61.0,,
Tiền và tương đương tiền cuối kỳ,LUỰU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,229.730.030.066,300.087.599.256,70.0,229730030066.0,300087599256.0
