row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.199.089.796.045,4.450.385.915.815,10.864.911.447.189,863.258.805.744,40.032.325.022,26.417.678.289.815,10199089796045.0,4450385915815.0,10864911447189.0,863258805744.0,40032325022.0,26417678289815.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,816.371.129.124,375.878.045.986,641.177.464.801,97.144.565.140,6.813.243.596,1.937.384.448.647,816371129124.0,375878045986.0,641177464801.0,97144565140.0,6813243596.0,1937384448647.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(213.689.356),-,-,-,-,(213.689.356),-213689356.0,,,,,-213689356.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(15.834.932.521),1.062.813.834,1.079.056.677,13.729.002.814,(35.940.804),-,-15834932521.0,1062813834.0,1079056677.0,13729002814.0,-35940804.0,
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(144.918.516.264),(89.474.987.390),(46.056.419.436),(18.264.443.778),(437.337.256),(299.151.704.124),-144918516264.0,-89474987390.0,-46056419436.0,-18264443778.0,-437337256.0,-299151704124.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,920.176.751,853.143.804,159.962.708,117.669.459,13.852.215,2.064.804.937,920176751.0,853143804.0,159962708.0,117669459.0,13852215.0,2064804937.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.855.413.963.779,4.738.704.932.049,11.461.271.511.939,955.985.599.379,46.386.142.773,28.057.762.149.919,10855413963779.0,4738704932049.0,11461271511939.0,955985599379.0,46386142773.0,28057762149919.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.755.319.243.639,1.263.525.255.135,2.986.545.127.386,169.602.716.364,23.740.085.983,11.198.732.428.507,6755319243639.0,1263525255135.0,2986545127386.0,169602716364.0,23740085983.0,11198732428507.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,7.397.803.047.893,1.686.965.529.985,2.706.377.576.276,177.552.781.739,34.081.329.443,12.002.780.265.336,7397803047893.0,1686965529985.0,2706377576276.0,177552781739.0,34081329443.0,12002780265336.0
