row_label_raw,row_label_full,Másô,Thuyêtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__Thuyêtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
14,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,(60.443.657.529),(55.900.918.599),,-60443657529.0,-55900918599.0
15,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Thuả TNDN đã nộp,(231.958.086.112),(153.619.666.783),,-231958086112.0,-153619666783.0
17,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,(26.117.591.079),(34.241.546.190),,-26117591079.0,-34241546190.0
20,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,(302.139.905.578),109.483.854.141,,-302139905578.0,109483854141.0
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
21,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,"Chi đề mua sám, xây dựng TSCĐ và các tài sảnđài hạn khác",(336.378.415.370),(115.444.131.186),,-336378415370.0,-115444131186.0
22,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,"Thu từ thanh lý, nhượng bán TSCĐ",1.075.685.048,8.425.973.637,,1075685048.0,8425973637.0
23,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,Chi cho đầu tư năm giữ đến ngày đào hạn,,(160.000.000.000),,,-160000000000.0
24,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,Thu hồi các khoản đầu tư năm giữ đến ngày đào hạn,160.065.000.000,,,160065000000.0,
27,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,Thu lãi tiên gửi,6.331.279.529,2.932.220.359,,6331279529.0,2932220359.0
30,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,(168.906.470.793),(264.085.937.170),,-168906470793.0,-264085937170.0
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH,,,
31,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 31,31,"Thu từ phát hành có phiếu, nhận vốn góp của chủ sở hữu",97.273.160.000,975.035.852.458,,97273160000.0,975035852458.0
33,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 33,33,Thu từ đi vay,4.320.772.043.080,3.091.939.159.843,,4320772043080.0,3091939159843.0
34,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 34,34,Chi trả nợ gốc vay,(3.647.003.259.254),(3.707.380.368.316),,-3647003259254.0,-3707380368316.0
36,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 36,36,Chi trả có tức,(268.371.812.300),(185.194.405.300),,-268371812300.0,-185194405300.0
40,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 40,40,Lưu chuyển thuần từ hoạt động tài chính,502.670.131.526,174.400.278.683,,502670131526.0,174400278683.0
50,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,31.623.755.155,19.798.195.654,,31623755155.0,19798195654.0
60,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 60,60,Tiền và tương đương tiền dấu năm,175.208.552.187,155.348.026.509,,175208552187.0,155348026509.0
61,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giả hối đoái quy đổi ngoại tệ,(111.127.713),62.330.024,,-111127713.0,62330024.0
70,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẠI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,206.721.179.629,175.208.552.187,,206721179629.0,175208552187.0
