row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
I.,I.,I.,1. Trả trước cho người bán dài hạn,212,7,62.322.571.154,64.113.269.122,,212.0,7.0,62322571154.0,64113269122.0
I.,I.,I.,2. Phải thu dài hạn khác,216,8,126.446.286.044,70.851.189.181,,216.0,8.0,126446286044.0,70851189181.0
II.,II.,II.,Tài sản cố định,220,,15.395.529.375.231,17.203.070.018.816,,220.0,,15395529375231.0,17203070018816.0
II.,II.,II.,1. Tài sản cố định hữu hình,221,12,14.924.790.039.660,16.745.720.197.262,,221.0,12.0,14924790039660.0,16745720197262.0
II.,II.,II.,- Nguyên giá,222,,44.056.506.056.213,43.276.146.409.892,,222.0,,44056506056213.0,43276146409892.0
II.,II.,II.,- Giá trị hao mòn lũy kế,223,,(29.131.716.016.553),(26.530.426.212.630),,223.0,,-29131716016553.0,-26530426212630.0
II.,II.,II.,2. Tài sản cố định thuê tài chính,224,13,36.763.701.195,57.229.227.905,,224.0,13.0,36763701195.0,57229227905.0
II.,II.,II.,- Nguyên giá,225,,86.943.925.878,94.530.744.060,,225.0,,86943925878.0,94530744060.0
II.,II.,II.,- Giá trị hao mòn lũy kế,226,,(50.180.224.683),(37.301.516.155),,226.0,,-50180224683.0,-37301516155.0
II.,II.,II.,3. Tài sản cố định vô hình,227,14,433.975.634.376,400.120.593.649,,227.0,14.0,433975634376.0,400120593649.0
II.,II.,II.,- Nguyên giá,228,,521.365.712.739,469.208.941.884,,228.0,,521365712739.0,469208941884.0
II.,II.,II.,- Giá trị hao mòn lũy kế,229,,(87.390.078.363),(69.088.348.235),,229.0,,-87390078363.0,-69088348235.0
III.,III.,III.,Bất động sản đầu tư,230,,24.842.563.084,24.515.433.300,,230.0,,24842563084.0,24515433300.0
III.,III.,III.,- Nguyên giá,231,,26.427.782.233,25.306.253.729,,231.0,,26427782233.0,25306253729.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(1.585.219.149),(790.820.429),,232.0,,-1585219149.0,-790820429.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,6.571.784.154.041,4.738.573.251.455,,240.0,,6571784154041.0,4738573251455.0
IV.,IV.,IV.,1. Chi phí xây dựng cơ bản dở dang,242,15,6.571.784.154.041,4.738.573.251.455,,242.0,15.0,6571784154041.0,4738573251455.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,92.632.703.133,144.205.831.583,,250.0,5.0,92632703133.0,144205831583.0
V.,V.,V.,"1. Đầu tư vào công ty liên doanh, liên kết",252,,56.592.703.133,132.285.831.583,,252.0,,56592703133.0,132285831583.0
V.,V.,V.,2. Đầu tư góp vốn vào đơn vị khác,253,,111.040.000.000,86.920.000.000,,253.0,,111040000000.0,86920000000.0
V.,V.,V.,3. Dự phòng đầu tư tài chính dài hạn,254,,(75.000.000.000),(75.000.000.000),,254.0,,-75000000000.0,-75000000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,1.358.827.836.339,1.305.579.362.351,,260.0,,1358827836339.0,1305579362351.0
VI.,VI.,VI.,1. Chi phí trả trước dài hạn,261,11,1.077.254.012.412,950.303.632.420,,261.0,11.0,1077254012412.0,950303632420.0
VI.,VI.,VI.,2. Tài sản thuê thu nhập hoãn lại,262,16,46.141.766.516,50.086.025.880,,262.0,16.0,46141766516.0,50086025880.0
VI.,VI.,VI.,3. Lợi thể thương mại,269,18,235.432.057.411,305.189.704.051,,269.0,18.0,235432057411.0,305189704051.0
TỔNG CÔNG TÀI SẢN (270=100+200),TỔNG CÔNG TÀI SẢN (270=100+200),TỔNG CÔNG TÀI SẢN (270=100+200),TỔNG CÔNG TÀI SẢN (270=100+200),270,,61.889.343.342.437,56.753.853.518.438,,270.0,,61889343342437.0,56753853518438.0
