row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.747.420.288.120,2.653.160.088.328,591.249.439.849,171.959.632.110,20.366.636.764.223,26.530.426.212.630,2747420288120.0,2653160088328.0,591249439849.0,171959632110.0,20366636764223.0,26530426212630.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,436.392.533.662,346.198.196.359,43.464.640.930,48.275.011.633,1.734.658.750.806,2.608.989.133.390,436392533662.0,346198196359.0,43464640930.0,48275011633.0,1734658750806.0,2608989133390.0
Chuyển sang từ Tài sản cố địnhthuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang từ Tài sản cố địnhthuê tài chính,Chuyển sang từ Tài sản cố địnhthuê tài chính,-,3.754.053.042,-,-,-,3.754.053.042,,3754053042.0,,,,3754053042.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.096.740.465),(1.127.881.012),(3.591.035.389),(759.587.740),(9.575.244.606),,-4096740465.0,-1127881012.0,-3591035389.0,-759587740.0,-9575244606.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,7.529.928.965,15.599.729.812,(5.088.916.757),-,(18.040.742.020),-,7529928965.0,15599729812.0,-5088916757.0,,-18040742020.0,
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,(1.878.137.903),-,-,-,-,(1.878.137.903),-1878137903.0,,,,,-1878137903.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.189.464.612.844,3.014.615.327.076,628.497.283.010,216.643.608.354,22.082.495.185.269,29.131.716.016.553,3189464612844.0,3014615327076.0,628497283010.0,216643608354.0,22082495185269.0,29131716016553.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.193.418.869.686,2.949.020.003.155,138.565.335.715,107.841.922.286,8.535.943.908.818,14.924.790.039.660,3193418869686.0,2949020003155.0,138565335715.0,107841922286.0,8535943908818.0,14924790039660.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.350.973.606.063,2.976.101.204.852,197.309.796.009,86.863.252.826,10.134.472.337.512,16.745.720.197.262,3350973606063.0,2976101204852.0,197309796009.0,86863252826.0,10134472337512.0,16745720197262.0
