row_label_raw,row_label_full,col_0,Quả hạnTriệu VND,Không chịu rúti ro lãi suất do định giá lại Triệu VND,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng cộngTriệu VND,numeric__Quả hạnTriệu VND,numeric__Không chịu rúti ro lãi suất do định giá lại Triệu VND,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng cộngTriệu VND
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,11.287.876,-,-,-,-,-,-,11.287.876,,11287876.0,,,,,,,11287876.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),436.213,46.568.210,-,-,-,-,-,-,47.004.423,436213.0,46568210.0,,,,,,,47004423.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),39.897.536,131.670.275,610.822.819,761.652.118,655.409.609,253.804.389,216.273.109,78.593.539,2.748.123.394,39897536.0,131670275.0,610822819.0,761652118.0,655409609.0,253804389.0,216273109.0,78593539.0,2748123394.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,321.984.809,54.569.064,5.157.762,7.151.287,390.746,90.396,389.344.064,,,321984809.0,54569064.0,5157762.0,7151287.0,390746.0,90396.0,389344064.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,667.563.935,416.870.836,366.761.363,451.854.631,26.404.436,102.257,1.929.557.458,,,667563935.0,416870836.0,366761363.0,451854631.0,26404436.0,102257.0,1929557458.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rúti ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rúti ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rúti ro",-,-,5.563.836,4.666.158,1.523.968,51.398,113.385,62.722,11.981.467,,,5563836.0,4666158.0,1523968.0,51398.0,113385.0,62722.0,11981467.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,13.293.859,17.235.122,73.484.959,82.931.729,5.487.496,6.567.000,199.000.165,,,13293859.0,17235122.0,73484959.0,82931729.0,5487496.0,6567000.0,199000165.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,43.124.242,-,-,-,-,-,-,43.124.242,,43124242.0,,,,,,,43124242.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,43.124.242,1.008.406.439,493.341.180,446.928.052,541.989.045,32.396.063,6.822.375,2.573.007.396,,43124242.0,1008406439.0,493341180.0,446928052.0,541989045.0,32396063.0,6822375.0,2573007396.0
Mức chênh lệch nhạy cảm với lãi suất nội bằng (3) = (1) - (2),Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bằng (3) = (1) - (2),Mức chênh lệch nhạy cảm với lãi suất nội bằng (3) = (1) - (2),39.897.536,88.546.033,(397.583.620),268.310.938,208.481.557,(288.184.656),183.877.046,71.771.164,175.115.998,39897536.0,88546033.0,-397583620.0,268310938.0,208481557.0,-288184656.0,183877046.0,71771164.0,175115998.0
Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bằng (5) = (3) + (4)","Các cam kết ngoại bằng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bằng (5) = (3) + (4)","Mức chênh nhạy cảm với lãi suất nội, ngoại bằng (5) = (3) + (4)",39.897.536,88.546.033,(397.583.620),268.310.938,208.481.557,(288.184.656),183.877.046,71.771.164,175.115.998,39897536.0,88546033.0,-397583620.0,268310938.0,208481557.0,-288184656.0,183877046.0,71771164.0,175115998.0
