row_label_raw,row_label_full,col_0,Thuyết minh,2024Triệu VND,2023Triệu VND,numeric__Thuyết minh,numeric__2024Triệu VND,numeric__2023Triệu VND
Tăng khác về tài sản hoạt động,Tăng khác về tài sản hoạt động,Tăng khác về tài sản hoạt động,,(23.071.835)(567.546),(17.665.260)(5.214.619),,,
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
Tăng/(giảm) các khoản nợ Chính phủ và NHNN,Những thay đổi về công nợ hoạt động > Tăng/(giảm) các khoản nợ Chính phủ và NHNN,Tăng/(giảm) các khoản nợ Chính phủ và NHNN,,132.832.782,(117.315.530),,132832782.0,-117315530.0
"Tăng các khoản tiền gửi, tiền vay các TCTD khác","Những thay đổi về công nợ hoạt động > Tăng các khoản tiền gửi, tiền vay các TCTD khác","Tăng các khoản tiền gửi, tiền vay các TCTD khác",,48.702.512,5.780.030,,48702512.0,5780030.0
Tăng tiền gửi của khách hàng,Những thay đổi về công nợ hoạt động > Tăng tiền gửi của khách hàng,Tăng tiền gửi của khách hàng,,244.003.594,228.743.762,,244003594.0,228743762.0
Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờcó giá phát hành được tính vào hoạt động tài chính),Những thay đổi về công nợ hoạt động > Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờcó giá phát hành được tính vào hoạt động tài chính),Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờcó giá phát hành được tính vào hoạt động tài chính),,6.689.099,32.767.695,,6689099.0,32767695.0
"Giảm các nguồn vốn tài trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro","Những thay đổi về công nợ hoạt động > Giảm các nguồn vốn tài trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro","Giảm các nguồn vốn tài trợ, ủy thác đầu tư, cho vay màTCTD chịu rủi ro",,(226.262),(1.029.897),,-226262.0,-1029897.0
(Giảm)/tăng các công cụ tài chính phải sinh và các khoảnnợ tài chính khác,Những thay đổi về công nợ hoạt động > (Giảm)/tăng các công cụ tài chính phải sinh và các khoảnnợ tài chính khác,(Giảm)/tăng các công cụ tài chính phải sinh và các khoảnnợ tài chính khác,,(335.208),335.208,,-335208.0,335208.0
Giảm khác về công nợ hoạt độngChi từ quỹ của tổ chức tín dụng,Giảm khác về công nợ hoạt độngChi từ quỹ của tổ chức tín dụng,Giảm khác về công nợ hoạt độngChi từ quỹ của tổ chức tín dụng,,(1.451.259)-,(2.454.195)(1.164),,,
LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,Giảm khác về công nợ hoạt độngChi từ quỹ của tổ chức tín dụng > LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG KINH DOANH,,97.586.577,(70.894.391),,97586577.0,-70894391.0
