row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2017 Triệu VND,2016 Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2017 Triệu VND,numeric__2016 Triệu VND
(Giảm)/tăng các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > (Giảm)/tăng các khoản phải trả và nợ phải trả khác,(Giảm)/tăng các khoản phải trả và nợ phải trả khác,11,,(1.032.082),473.569,11.0,,-1032082.0,473569.0
Tăng chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tăng chi phí trả trước,Tăng chi phí trả trước,12,,(27.996),(105.699),12.0,,-27996.0,-105699.0
,,,,,6.732.299,7.986.265,,,6732299.0,7986265.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(3.261.365),(2.958.543),14.0,,-3261365.0,-2958543.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(704.278),(895.387),15.0,,-704278.0,-895387.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(197),(13.734),17.0,,-197.0,-13734.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,2.766.459,4.118.601,20.0,,2766459.0,4118601.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
Tiền chi mua tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua tài sản cố định và tài sản dài hạn khác,Tiền chi mua tài sản cố định và tài sản dài hạn khác,21,,(2.111.023),(2.920.583),21.0,,-2111023.0,-2920583.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,,10.763,13.292,22.0,,10763.0,13292.0
Tiền chi cho vay và tiền gửi ngân hàng có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay và tiền gửi ngân hàng có kỳ hạn,Tiền chi cho vay và tiền gửi ngân hàng có kỳ hạn,23,,(5.348.244),(94.467.254),23.0,,-5348244.0,-94467254.0
Tiền thu từ các khoản cho vay và tiền gửi ngân hàngcó kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ các khoản cho vay và tiền gửi ngân hàngcó kỳ hạn,Tiền thu từ các khoản cho vay và tiền gửi ngân hàngcó kỳ hạn,24,,6.752.487,101.946.046,24.0,,6752487.0,101946046.0
Tiền chi đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư,Tiền chi đầu tư,25,,(522.403),(25.071.491),25.0,,-522403.0,-25071491.0
Tiền thu từ thanh lý các khoản đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý các khoản đầu tư,Tiền thu từ thanh lý các khoản đầu tư,26,,3.874.973,218.701,26.0,,3874973.0,218701.0
"Tiền thu lãi tiền gửi và cho vay, cổ tức và thu nhập khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi và cho vay, cổ tức và thu nhập khác","Tiền thu lãi tiền gửi và cho vay, cổ tức và thu nhập khác",27,,477.399,1.116.662,27.0,,477399.0,1116662.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,3.133.952,(19.164.627),30.0,,3133952.0,-19164627.0
