row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2021 triệu đồng,Ngày 31 tháng 12 năm 2020 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Ngày 31 tháng 12 năm 2020 triệu đồng
Mua nợ,TẢI SẢN > Mua nợ,Mua nợ,,-,3.750,,,3750.0
Dự phòng rủi ro hoạt động mua nợ,TẢI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,-,(3.750),,,-3750.0
Chứng khoán đầu tư,TẢI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,13,48.226.133,55.676.927,13.0,48226133.0,55676927.0
Chứng khoán đầu tư sản sàng để bản,TẢI SẢN > Chứng khoán đầu tư sản sàng để bản,Chứng khoán đầu tư sản sàng để bản,,48.257.483,55.845.414,,48257483.0,55845414.0
Dự phòng rủi ro chứng khoán đầu tư,TẢI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(31.350),(168.487),,-31350.0,-168487.0
"Góp vốn, đầu tư dài hạn","TẢI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",14,10.036,22.036,14.0,10036.0,22036.0
Đầu tư dài hạn khác,TẢI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,10.036,22.036,,10036.0,22036.0
Tải sản cố định,TẢI SẢN > Tải sản cố định,Tải sản cố định,,311.581,308.751,,311581.0,308751.0
Tải sản cố định hữu hình,TẢI SẢN > Tải sản cố định hữu hình,Tải sản cố định hữu hình,15,133.753,127.909,15.0,133753.0,127909.0
Nguyên giá,TẢI SẢN > Nguyên giá,Nguyên giá,,625.105,700.273,,625105.0,700273.0
Khẩu hao lũy kế,TẢI SẢN > Khẩu hao lũy kế,Khẩu hao lũy kế,,(491.352),(572.364),,-491352.0,-572364.0
Tải sản cố định vô hình,TẢI SẢN > Tải sản cố định vô hình,Tải sản cố định vô hình,16,177.828,180.842,16.0,177828.0,180842.0
Nguyên giá,TẢI SẢN > Nguyên giá,Nguyên giá,,515.078,468.203,,515078.0,468203.0
Hao mòn lũy kế,TẢI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,(337.250),(287.361),,-337250.0,-287361.0
Bất động sản đầu tư,TẢI SẢN > Bất động sản đầu tư,Bất động sản đầu tư,17,-,1.032.510,17.0,,1032510.0
Nguyên giá,TẢI SẢN > Nguyên giá,Nguyên giá,,-,1.253.600,,,1253600.0
Hao mòn lũy kế,TẢI SẢN > Hao mòn lũy kế,Hao mòn lũy kế,,-,(221.090),,,-221090.0
Tải sản Có khác,TẢI SẢN > Tải sản Có khác,Tải sản Có khác,18,17.195.677,20.105.455,18.0,17195677.0,20105455.0
Các khoản phải thu,TẢI SẢN > Các khoản phải thu,Các khoản phải thu,18.1,10.122.841,13.398.020,181.0,10122841.0,13398020.0
"Các khoản lãi, phí phải thu","TẢI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",18.2,2.769.866,2.640.237,182.0,2769866.0,2640237.0
Tải sản thuê thu nhập doanh nghiệp hoãn lại,TẢI SẢN > Tải sản thuê thu nhập doanh nghiệp hoãn lại,Tải sản thuê thu nhập doanh nghiệp hoãn lại,18.3,61,46,183.0,61.0,46.0
Tải sản Có khác,TẢI SẢN > Tải sản Có khác,Tải sản Có khác,18.4,4.545.971,5.161.649,184.0,4545971.0,5161649.0
Trong đó: Lợi thế thương mại,TẢI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,19,35.088,45.071,19.0,35088.0,45071.0
Dự phòng rủi ro tài sản Có khác,TẢI SẢN > Dự phòng rủi ro tài sản Có khác,Dự phòng rủi ro tài sản Có khác,18.5,(243.062),(1.094.497),185.0,-243062.0,-1094497.0
TỔNG TẢI SẢN CÓ,TẢI SẢN > TỔNG TẢI SẢN CÓ,TỔNG TẢI SẢN CÓ,,203.665.423,176.697.625,,203665423.0,176697625.0
