row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,12,52.589.033.787.156,40.291.755.021.791,12.0,52589033787156.0,40291755021791.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,52.635.610.527.457,40.331.397.720.516,,52635610527457.0,40331397720516.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(46.576.740.301),(39.642.698.725),,-46576740301.0,-39642698725.0
"Gớp vốn, đầu tư dài hạn","TÀI SẢN > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",13,25.000.000.000,25.000.000.000,13.0,25000000000.0,25000000000.0
Đầu tư vào công ty con,TÀI SẢN > Đầu tư vào công ty con,Đầu tư vào công ty con,,25.000.000.000,25.000.000.000,,25000000000.0,25000000000.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,629.786.003.479,553.659.164.650,,629786003479.0,553659164650.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14.1,341.299.885.196,269.540.873.296,141.0,341299885196.0,269540873296.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,897.989.633.453,783.657.134.113,,897989633453.0,783657134113.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(556.689.748.257),(514.116.260.817),,-556689748257.0,-514116260817.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,14.2,288.486.118.283,284.118.291.354,142.0,288486118283.0,284118291354.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,635.944.945.135,580.023.546.142,,635944945135.0,580023546142.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(347.458.826.852),(295.905.254.788),,-347458826852.0,-295905254788.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15,11.864.722.115.478,12.329.766.954.638,15.0,11864722115478.0,12329766954638.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,"15.1, 15.2",7.092.555.625.434,7.866.477.939.468,,7092555625434.0,7866477939468.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",15.3,2.778.453.061.157,2.528.258.177.998,153.0,2778453061157.0,2528258177998.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,15.4,1.998.513.428.887,1.939.830.837.172,154.0,1998513428887.0,1939830837172.0
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,15.5,(4.800.000.000),(4.800.000.000),155.0,-4800000000.0,-4800000000.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,280.736.261.932.428,240.138.054.935.432,,280736261932428.0,240138054935432.0
