row_label_raw,row_label_full,col_0,Quế hạnVND,Không nhay cảm vớilải suấtVND,Đến 1 thángVND,Từ 1 - 3 thángVND,Từ 3 - 6 thángVND,Từ 6 - 12 thángVND,Từ 1 - 5 nămVND,Trên 5nămVND,Tổng cộngVND,numeric__Quế hạnVND,numeric__Không nhay cảm vớilải suấtVND,numeric__Đến 1 thángVND,numeric__Từ 1 - 3 thángVND,numeric__Từ 3 - 6 thángVND,numeric__Từ 6 - 12 thángVND,numeric__Từ 1 - 5 nămVND,numeric__Trên 5nămVND,numeric__Tổng cộngVND
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,3.393.187.130.601,-,-,76.348.421.538,-,-,3.469.535.552.139,,,3393187130601.0,,,76348421538.0,,,3469535552139.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,7.090.294.422,41.815.766.322.786,2.987.935.273.199,90.103.795.411,12.239.799.000,95.145.720.680,-,45.008.281.205.498,,7090294422.0,41815766322786.0,2987935273199.0,90103795411.0,12239799000.0,95145720680.0,,45008281205498.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.132.515.701.224,33.362.345.695.360,37.642.440.144.617,12.339.939.654.592,4.985.103.248.390,474.157.712,142.482.818.601.895,,,54132515701224.0,33362345695360.0,37642440144617.0,12339939654592.0,4985103248390.0,474157712.0,142482818601895.0
Các công cụ tài chính phải sinh,Nợ phải trả > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,356.262.657.844,-,-,-,-,-,-,356.262.657.844,,356262657844.0,,,,,,,356262657844.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,-,5.954.805.000,1.537.625.260,44.315.255.500,5.890.275.823.635,-,5.942.083.509.395,,,,5954805000.0,1537625260.0,44315255500.0,5890275823635.0,,5942083509395.0
Phát hành giấy tờ cỏ giả,Nợ phải trả > Phát hành giấy tờ cỏ giả,Phát hành giấy tờ cỏ giả,-,-,204.400.000.000,59.200.000.000,7.688.412.500.000,5.538.400.000.000,30.520.300.000.000,-,44.010.712.500.000,,,204400000000.0,59200000000.0,7688412500000.0,5538400000000.0,30520300000000.0,,44010712500000.0
Các khoản nợ khác - góp,Nợ phải trả > Các khoản nợ khác - góp,Các khoản nợ khác - góp,-,7.794.696.232.622,-,-,-,-,-,-,7.794.696.232.622,,7794696232622.0,,,,,,,7794696232622.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,8.158.049.184.888,99.545.869.154.611,36.435.435.773.559,45.422.494.065.288,18.011.243.130.630,41.490.824.792.705,474.157.712,249.064.390.259.393,,8158049184888.0,99545869154611.0,36435435773559.0,45422494065288.0,18011243130630.0,41490824792705.0,474157712.0,249064390259393.0
Mức chênh nhay cảm với lải suất nội bằng,Nợ phải trả > Mức chênh nhay cảm với lải suất nội bằng,Mức chênh nhay cảm với lải suất nội bằng,6.776.071.792.153,9.751.868.403.220,(37.227.311.979.862),28.434.599.137.739,18.505.616.274.985,23.965.770.390.690,(30.705.473.469.467),14.809.525.842.288,34.310.666.391.746,6776071792153.0,9751868403220.0,-37227311979862.0,28434599137739.0,18505616274985.0,23965770390690.0,-30705473469467.0,14809525842288.0,34310666391746.0
Các cam kết ngoại bằng có tác động tới mức độ nhay cảm với lải suất của các TS và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bằng có tác động tới mức độ nhay cảm với lải suất của các TS và công nợ (ròng),Các cam kết ngoại bằng có tác động tới mức độ nhay cảm với lải suất của các TS và công nợ (ròng),-,-,-,-,-,-,(46.925.000.000),-,(46.925.000.000),,,,,,,-46925000000.0,,-46925000000.0
Mức chênh nhay cảm với lải suất,Nợ phải trả > Mức chênh nhay cảm với lải suất,Mức chênh nhay cảm với lải suất,6.776.071.792.153,9.751.868.403.220,(37.227.311.979.862),28.434.599.137.739,18.505.616.274.985,23.965.770.390.690,(30.752.398.469.467),14.809.525.842.288,34.263.741.391.746,6776071792153.0,9751868403220.0,-37227311979862.0,28434599137739.0,18505616274985.0,23965770390690.0,-30752398469467.0,14809525842288.0,34263741391746.0
