row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Cổ phiếu quỹ VND,Chênh lệch đánh giá lại tài sản (i) VND,Chênh lệch tỷ giá hồi doài VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Cổ phiếu quỹ VND,numeric__Chênh lệch đánh giá lại tài sản (i) VND,numeric__Chênh lệch tỷ giá hồi doài VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Tăng vốn từ quỹ đầu tư phát triển,Tăng vốn từ quỹ đầu tư phát triển,Tăng vốn từ quỹ đầu tư phát triển,-,-,7.500.000.000,-,-,-,(7.500.000.000),-,-,-,-,,,7500000000.0,,,,-7500000000.0,,,,
Biến đồng do mất quyền kiểm soát các công ty con,Biến đồng do mất quyền kiểm soát các công ty con,Biến đồng do mất quyền kiểm soát các công ty con,-,-,130.512.608.377,-,-,-,(5.135.743.860),(4.478.235.338),(4.712.439.131),(552.906.900.638),(436.720.710.590),,,130512608377.0,,,,-5135743860.0,-4478235338.0,-4712439131.0,-552906900638.0,-436720710590.0
Cổ đông không kiểm soát góp vốn trong năm,Cổ đông không kiểm soát góp vốn trong năm,Cổ đông không kiểm soát góp vốn trong năm,-,-,-,-,-,-,-,-,-,35.562.201.567,35.562.201.567,,,,,,,,,,35562201567.0,35562201567.0
Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,-,-,-,-,-,-,14.138.444.904,4.706.754.745,(21.200.080.828),29.895.900.366,27.541.019.187,,,,,,,14138444904.0,4706754745.0,-21200080828.0,29895900366.0,27541019187.0
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,12.938.780.810.000,2.246.997.553.623,1.132.410.233.797,(1.350.648.460.000),(1.317.118.937.352),5.425.927.848,951.687.189.578,1.333.225.579.172,4.578.569.554.201,2.864.655.714.085,23.383.985.164.952,12938780810000.0,2246997553623.0,1132410233797.0,-1350648460000.0,-1317118937352.0,5425927848.0,951687189578.0,1333225579172.0,4578569554201.0,2864655714085.0,23383985164952.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,-,3.649.759.187.678,398.325.115.908,4.048.084.303.586,,,,,,,,,3649759187678.0,398325115908.0,4048084303586.0
Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),Cổ tức (Thuyết minh 24),-,-,-,-,-,-,-,-,(3.476.439.705.000),(216.705.918.061),(3.693.145.623.061),,,,,,,,,-3476439705000.0,-216705918061.0,-3693145623061.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,-,-,-,68.556.333.941,-,(68.556.333.941),-,-,,,,,,,68556333941.0,,-68556333941.0,,
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(416.016.691.836),(35.964.722.479),(451.981.414.315),,,,,,,,,-416016691836.0,-35964722479.0,-451981414315.0
Chênh lệch tỷ giá hồi doài phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hồi doài phát sinh do việc quy đổi các hoạt động ở nước ngoài,Chênh lệch tỷ giá hồi doài phát sinh do việc quy đổi các hoạt động ở nước ngoài,-,-,-,-,-,6.816.232.855,-,-,-,-,6.816.232.855,,,,,,6816232855.0,,,,,6816232855.0
Công ty con tăng vốn từ lợi nhuận chưa phân phối,Công ty con tăng vốn từ lợi nhuận chưa phân phối,Công ty con tăng vốn từ lợi nhuận chưa phân phối,-,-,12.883.793.280,-,-,-,-,-,(12.883.793.280),-,-,,,12883793280.0,,,,,,-12883793280.0,,
Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,Giảm do thanh lý công ty con,-,-,(43.496.097.304),-,22.393.422.618,-,(33.834.374.367),-,54.937.049.053,(279.457.960.762),(279.457.960.762),,,-43496097304.0,,22393422618.0,,-33834374367.0,,54937049053.0,-279457960762.0,-279457960762.0
Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,Các biển đồng khác về vốn chủ sở hữu,-,-,(8.004.166.199),-,-,-,(15.271.977.433),3.816.786.244,(18.748.728.727),8.190.425.609,(30.017.660.506),,,-8004166199.0,,,,-15271977433.0,3816786244.0,-18748728727.0,8190425609.0,-30017660506.0
Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,Số dư tại ngày 31/12/2018,12.938.780.810.000,2.246.997.553.623,1.093.793.763.574,(1.350.648.460.000),(1.294.725.514.734),12.242.160.703,971.137.171.719,1.337.042.365.416,4.290.620.538.148,2.739.042.654.300,22.984.283.042.749,12938780810000.0,2246997553623.0,1093793763574.0,-1350648460000.0,-1294725514734.0,12242160703.0,971137171719.0,1337042365416.0,4290620538148.0,2739042654300.0,22984283042749.0
