row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Quá hạn_3,Quá hạn_4,Trong hạn,Trong hạn_1,Trong hạn_2,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Quá hạn_3,numeric__Quá hạn_4,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,3.202,-,655,5.274,10.732.101,10.741.232,,,3202.0,,655.0,5274.0,10732101.0,10741232.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),568.572,-,3.442.674,2.920.405,10.309.988,2.249.542,2.853.135,22.344.316,568572.0,,3442674.0,2920405.0,10309988.0,2249542.0,2853135.0,22344316.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,12.630.443,1.988.425,249.542.048,300.695.067,603.056.871,298.046.155,325.948.225,1.791.907.234,12630443.0,1988425.0,249542048.0,300695067.0,603056871.0,298046155.0,325948225.0,1791907234.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,65.983.986,14.680.666,34.740.969,4.045.084,3.896.705,123.347.410,,,65983986.0,14680666.0,34740969.0,4045084.0,3896705.0,123347410.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,291.082.723,261.682.090,647.809.317,174.867.083,4.956.586,1.380.397.799,,,291082723.0,261682090.0,647809317.0,174867083.0,4956586.0,1380397799.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà Ngân hàng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà Ngân hàng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà Ngân hàng chịu rủi ro",-,-,49.033,96.963,1.449.086,5.614.642,7.140.272,14.349.996,,,49033.0,96963.0,1449086.0,5614642.0,7140272.0,14349996.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.747.160,7.731.102,73.055.308,1.457,41.146.730,123.681.757,,,1747160.0,7731102.0,73055308.0,1457.0,41146730.0,123681757.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,19.874.264,2.732.476,10.243.253,256.639,483.172,33.589.804,,,19874264.0,2732476.0,10243253.0,256639.0,483172.0,33589804.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,378.737.166,286.923.297,767.297.933,184.784.905,57.623.465,1.675.366.766,,,378737166.0,286923297.0,767297933.0,184784905.0,57623465.0,1675366766.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,12.630.443,1.988.425,(129.195.118),13.771.770,(164.241.062),113.261.250,268.324.760,116.540.468,12630443.0,1988425.0,-129195118.0,13771770.0,-164241062.0,113261250.0,268324760.0,116540468.0
