row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoán,Khác,Điều chỉnh hợp nhất,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoán,numeric__Khác,numeric__Điều chỉnh hợp nhất,numeric__Tổng cộng
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",289.470,-,9.971,6.245,-,(118.064),187.622,289470.0,,9971.0,6245.0,,-118064.0,187622.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,60.803.918,149.779,1.028.198,733.710,19.872,(241.588),62.493.889,60803918.0,149779.0,1028198.0,733710.0,19872.0,-241588.0,62493889.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,(10.837.022),(47.626),(331.042),(234.638),(14.757),36.617,(11.428.468),-10837022.0,-47626.0,-331042.0,-234638.0,-14757.0,36617.0,-11428468.0
Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,Chi phí khấu hao và khấu trừ,(1.206.709),(1.214),(7.398),(7.362),(20),-,(1.222.703),-1206709.0,-1214.0,-7398.0,-7362.0,-20.0,,-1222703.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(6.641.207),(22.865),(168.870),(62.549),(4.565),85.906,(6.814.150),-6641207.0,-22865.0,-168870.0,-62549.0,-4565.0,85906.0,-6814150.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(18.684.938),(71.705),(507.310),(304.549),(19.342),122.523,(19.465.321),-18684938.0,-71705.0,-507310.0,-304549.0,-19342.0,122523.0,-19465321.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,42.118.980,78.074,520.888,429.161,530,(119.065),43.028.568,42118980.0,78074.0,520888.0,429161.0,530.0,-119065.0,43028568.0
(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/Hoàn nhập dự phòng rủi ro tín dụng,(29.451.585),(35.830),-,21.641,-,(15.143),(29.480.917),-29451585.0,-35830.0,,21641.0,,-15143.0,-29480917.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,12.667.395,42.244,520.888,450.802,530,(134.208),13.547.651,12667395.0,42244.0,520888.0,450802.0,530.0,-134208.0,13547651.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(2.507.572),(8.420),(109.628),(81.783),-,-,(2.707.403),-2507572.0,-8420.0,-109628.0,-81783.0,,,-2707403.0
Thu nhập/(Chi phí) thuế TNDN hoãn lại,Thu nhập/(Chi phí) thuế TNDN hoãn lại,Thu nhập/(Chi phí) thuế TNDN hoãn lại,1.496,-,496,-,-,(969),1.023,1496.0,,496.0,,,-969.0,1023.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,10.161.319,33.824,411.756,369.019,530,(135.177),10.841.271,10161319.0,33824.0,411756.0,369019.0,530.0,-135177.0,10841271.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,,,,
TỔNG TÀI SẢN,Tại ngày 31 tháng 12 năm 2021 > TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.764.930.589,4.213.514,6.390.712,7.221.614,2.206.111,(23.266.748),1.761.695.792,1764930589.0,4213514.0,6390712.0,7221614.0,2206111.0,-23266748.0,1761695792.0
TỔNG Nợ PHẢI TRẢ,Tại ngày 31 tháng 12 năm 2021 > TỔNG Nợ PHẢI TRẢ,TỔNG Nợ PHẢI TRẢ,1.679.398.984,3.262.697,3.607.066,5.581.334,6.236,(16.489.551),1.675.366.766,1679398984.0,3262697.0,3607066.0,5581334.0,6236.0,-16489551.0,1675366766.0
