row_label_raw,row_label_full,col_0,Tại ngày01/02/2016VND(Được báo cáo lại),Tại ngày01/02/2016VND(Đã được báo cáo trước đây),numeric__Tại ngày01/02/2016VND(Được báo cáo lại),numeric__Tại ngày01/02/2016VND(Đã được báo cáo trước đây)
Doanh thu thuần bán hàng và cung cấp dịch vụ,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,3.648.925.532.035,3.629.467.946.994,3648925532035.0,3629467946994.0
Giá vốn hàng bán,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Giá vốn hàng bán,Giá vốn hàng bán,2.507.048.838.453,2.511.936.303.078,2507048838453.0,2511936303078.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,134.096.155.417,135.361.435.553,134096155417.0,135361435553.0
Chi phí quản lý doanh nghiệp,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,298.910.223.167,296.958.504.891,298910223167.0,296958504891.0
Thu nhập khác,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Thu nhập khác,Thu nhập khác,35.020.378.070,29.845.639.752,35020378070.0,29845639752.0
Chi phí khác,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Chi phí khác,Chi phí khác,17.864.031.361,17.233.679.056,17864031361.0,17233679056.0
Chi phí thuê TNDN hiện hành,Kết quả hoạt động kinh doanh hợp nhất (Trích): > Chi phí thuê TNDN hiện hành,Chi phí thuê TNDN hiện hành,107.026.247.861,103.103.362.135,107026247861.0,103103362135.0
Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích):,Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích):,Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích):,Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích):,Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích):,,
,,,Từ ngày 01/02/2016đến 31/12/2016VND(Được báo cáo lại),Từ ngày 01/02/2016đến 31/12/2016VND(Đã được báo cáo trước đây),,
Chỉ tiêu lợi nhuận trước thuế,Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích): > Chỉ tiêu lợi nhuận trước thuế,Chỉ tiêu lợi nhuận trước thuế,710.328.402.489,684.655.965.222,710328402489.0,684655965222.0
Chỉ tiêu khấu hao TSCĐ và BĐSDĐT,Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích): > Chỉ tiêu khấu hao TSCĐ và BĐSDĐT,Chỉ tiêu khấu hao TSCĐ và BĐSDĐT,391.321.907.155,395.080.631.742,391321907155.0,395080631742.0
"Chỉ tiêu tăng, giảm các khoản phải thu","Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích): > Chỉ tiêu tăng, giảm các khoản phải thu","Chỉ tiêu tăng, giảm các khoản phải thu",362.348.299.734,361.083.019.598,362348299734.0,361083019598.0
"Chỉ tiêu tăng, giảm hàng tồn kho","Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích): > Chỉ tiêu tăng, giảm hàng tồn kho","Chỉ tiêu tăng, giảm hàng tồn kho",47.260.942.934,40.433.167.299,47260942934.0,40433167299.0
"Chỉ tiêu tăng, giảm các khoản phải trả","Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích): > Chỉ tiêu tăng, giảm các khoản phải trả","Chỉ tiêu tăng, giảm các khoản phải trả",620.432.867.515,751.884.882.131,620432867515.0,751884882131.0
"Chỉ tiêu tăng, giảm chi phí trả trước","Bảo cáo lưu chuyển tiền tệ hợp nhất (Trích): > Chỉ tiêu tăng, giảm chi phí trả trước","Chỉ tiêu tăng, giảm chi phí trả trước",(18.663.466.768),(120.108.712.933),-18663466768.0,-120108712933.0
