row_label_raw,row_label_full,24.2. Chi tiết vốn góp của chủ sở hữu,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
- Chi sự nghiệp,25. Nguồn kinh phí > - Chi sự nghiệp,- Chi sự nghiệp,(56.609.572.618),(77.911.130.375),-56609572618.0,-77911130375.0
- Nguồn kinh phí còn lại cuối năm,25. Nguồn kinh phí > - Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,(37.991.052.791),(103.762.566.063),-37991052791.0,-103762566063.0
26. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,26. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,26. Các khoản mục ngoài Bảng Cân đối kế toán hợp nhất,31/12/2021,01/01/2021,,
a. Tài sản thuê ngoài,a. Tài sản thuê ngoài,a. Tài sản thuê ngoài,-,-,,
b. Tài sản nhận giữ hộ,a. Tài sản thuê ngoài > b. Tài sản nhận giữ hộ,b. Tài sản nhận giữ hộ,197.174.253.797,131.433.689.253,197174253797.0,131433689253.0
"- Vật tư hàng hóa nhận giữ hộ, nhận gia công","a. Tài sản thuê ngoài > - Vật tư hàng hóa nhận giữ hộ, nhận gia công","- Vật tư hàng hóa nhận giữ hộ, nhận gia công",197.174.253.797,131.433.689.253,197174253797.0,131433689253.0
"- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp","- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp","- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp",-,-,,
c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),,,,
- Ngoại tệ USD,c. Ngoại tệ các loại (USD) > - Ngoại tệ USD,- Ngoại tệ USD,36.379.062,39.607.605,36379062.0,39607605.0
- Ngoại tệ EUR,c. Ngoại tệ các loại (USD) > - Ngoại tệ EUR,- Ngoại tệ EUR,35.615,562,35615.0,562.0
- Ngoại tệ LAK,c. Ngoại tệ các loại (USD) > - Ngoại tệ LAK,- Ngoại tệ LAK,485.765,-,485765.0,
- Ngoại tệ KHR,c. Ngoại tệ các loại (USD) > - Ngoại tệ KHR,- Ngoại tệ KHR,2.462.802.816,1.392.120.868,2462802816.0,1392120868.0
- Ngoại tệ khác,c. Ngoại tệ các loại (USD) > - Ngoại tệ khác,- Ngoại tệ khác,80.182,240.273,80182.0,240273.0
e. Nợ khó đòi đã xử lý,c. Ngoại tệ các loại (USD) > e. Nợ khó đòi đã xử lý,e. Nợ khó đòi đã xử lý,67.845.979.308,64.858.239.246,67845979308.0,64858239246.0
