row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh mũ cao su,Sản xuất và kinh doanh các sản phẩm từ cao su,Chế biến gỗ,"Xây dựng, bất động sản, cơ sở hạ tầng","Dịch vụ du lịch, nhà hàng, khách sạn",Kinh doanh điện năng,Hoạt động kinh doanh khác,Điều chính và loại trừ,Tổng cộng,numeric__Sản xuất và kinh doanh mũ cao su,numeric__Sản xuất và kinh doanh các sản phẩm từ cao su,numeric__Chế biến gỗ,"numeric__Xây dựng, bất động sản, cơ sở hạ tầng","numeric__Dịch vụ du lịch, nhà hàng, khách sạn",numeric__Kinh doanh điện năng,numeric__Hoạt động kinh doanh khác,numeric__Điều chính và loại trừ,numeric__Tổng cộng
Thuế và các khoản khác phải thu Nhà nước,Phải thu về chuyển nhượng khoản đầu tư > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,122.356.656.037,862.031.157,6.165.493.012,65.397.357.117,849.180.938,307.830.715,101.677.079.697,-,297.615.628.67,122356656037.0,862031157.0,6165493012.0,65397357117.0,849180938.0,307830715.0,101677079697.0,,29761562867.0
Phải thu về cho vay dài,Phải thu về chuyển nhượng khoản đầu tư > Phải thu về cho vay dài,Phải thu về cho vay dài,71.333.848.670,-,-,3.127.391.838,-,-,1.028.591.918.750,(250.122.807.558),852.930.351.70,71333848670.0,,,3127391838.0,,,1028591918750.0,-250122807558.0,85293035170.0
Đầu tư tài chính dài hạn,Phải thu về chuyển nhượng khoản đầu tư > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,14.515.192.299.479,8.596.592.033,8.985.867.003,429.423.629.728,968.030.317,75.258.229.854,36.554.919.874.692,(48.833.117.843.736),2.760.226.679.37,14515192299479.0,8596592033.0,8985867003.0,429423629728.0,968030317.0,75258229854.0,36554919874692.0,-48833117843736.0,276022667937.0
Tài sản thuế thu nhập hoãn lại,Phải thu về chuyển nhượng khoản đầu tư > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,10.615.347.841,-,-,7.889.600.905,-,-,-,266.525.304.665,285.030.253.41,10615347841.0,,,7889600905.0,,,,266525304665.0,28503025341.0
Tổng cộng,Phải thu về chuyển nhượng khoản đầu tư > Tổng cộng,Tổng cộng,16.953.383.460.449,651.089.118.563,301.338.852.911,5.807.518.874.780,56.249.602.599,432.476.978.110,40.001.784.994.774,(49.219.730.759.678),14.984.111.122.50,16953383460449.0,651089118563.0,301338852911.0,5807518874780.0,56249602599.0,432476978110.0,40001784994774.0,-49219730759678.0,1498411112250.0
Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,Nợ phải trả của từng bộ phân không bao gồm các khoản mục sau vi những khoản nợ phải trả này được quản lý tập trung:,,,,,,,,,
Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,,,,
Thuế và các khoản phải nộp Nhà nước,Đơn vị tính: VND > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,369.235.289.936,52.520.133.731,38.570.441.095,29.379.757.366,739.065.472,20.952.986.302,4.306.661.535,-,515.704.335.43,369235289936.0,52520133731.0,38570441095.0,29379757366.0,739065472.0,20952986302.0,4306661535.0,,51570433543.0
Vay và nợ thuê tài chính ngắn hạn,Đơn vị tính: VND > Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,1.598.251.249.725,167.222.721.901,846.315.316.256,331.139.028.621,-,88.421.088.931,33.569.496.281,(403.015.413.049),2.661.903.488.66,1598251249725.0,167222721901.0,846315316256.0,331139028621.0,,88421088931.0,33569496281.0,-403015413049.0,266190348866.0
Vay và nợ thuê tài chính dài hạn,Đơn vị tính: VND > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,5.022.575.641.636,21.569.188.528,573.621.197.433,-,-,881.356.713.922,94.543.847.713,(250.122.807.558),6.343.543.781.67,5022575641636.0,21569188528.0,573621197433.0,,,881356713922.0,94543847713.0,-250122807558.0,634354378167.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,,,,,,,,,,,,,,,
Tổng cộng,Thuế thu nhập hoãn lại phải trả > Tổng cộng,Tổng cộng,6.990.062.181.297,241.312.044.160,1.458.506.954.784,360.518.785.987,739.065.472,990.730.789.155,132.420.005.529,(653.138.220.607),9.521.151.605.77,6990062181297.0,241312044160.0,1458506954784.0,360518785987.0,739065472.0,990730789155.0,132420005529.0,-653138220607.0,952115160577.0
