row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2018,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2018,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2018,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2018,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2018
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.137.998,533.266,53.741.453,38.411.018,77.637.709,56.050.001,104.376.502,332.887.947,2137998.0,533266.0,53741453.0,38411018.0,77637709.0,56050001.0,104376502.0,332887947.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,3.074.100,-,-,-,-,3.074.100,,,3074100.0,,,,,3074100.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,7.309.995,11.959.955,1.446.744,29.021,6.432,20.752.147,,,7309995.0,11959955.0,1446744.0,29021.0,6432.0,20752147.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,141.183.430,48.101.088,7.054.115,73.374.297,760.053,270.472.983,,,141183430.0,48101088.0,7054115.0,73374297.0,760053.0,270472983.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,38.198,-,-,-,-,38.198,,,38198.0,,,,,38198.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,133,7.755,23.515,84.418,44.272,160.093,,,133.0,7755.0,23515.0,84418.0,44272.0,160093.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,4.195.801,3.221.117,7.416.918,,,,,,4195801.0,3221117.0,7416918.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,5.972.537,-,-,-,-,5.972.537,,,5972537.0,,,,,5972537.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,157.578.393,60.068.798,8.524.374,77.683.537,4.031.874,307.886.976,,,157578393.0,60068798.0,8524374.0,77683537.0,4031874.0,307886976.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,2.137.998,533.266,(103.836.940),(21.657.780),69.113.335,(21.633.536),100.344.628,25.000.971,2137998.0,533266.0,-103836940.0,-21657780.0,69113335.0,-21633536.0,100344628.0,25000971.0
