row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quả hạn > Ngày 31 tháng 12 năm 2019,Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,Trên 5 năm > Ngày 31 tháng 12 năm 2019,Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quả hạn > Ngày 31 tháng 12 năm 2019,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2019
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),272.893,6.908.602,-,-,-,1.332.746,-,-,8.514.241,272893.0,6908602.0,,,,1332746.0,,,8514241.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.602.470,33.311.676,16.166.209,266.344.992,8.196.799,4.280.557,25.706.157,30.857.380,387.466.240,2602470.0,33311676.0,16166209.0,266344992.0,8196799.0,4280557.0,25706157.0,30857380.0,387466240.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,15.410.113,3.790.570,-,-,-,-,19.200.683,,,15410113.0,3790570.0,,,,,19200683.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,63.102.584,91.276.042,85.330.180,13.194.886,55.590.121,-,308.493.813,,,63102584.0,91276042.0,85330180.0,13194886.0,55590121.0,,308493813.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,128.850,-,-,-,27.297,156.147,,,,128850.0,,,,27297.0,156147.0
Phá: hành giấy tờ có giá,Nợ phải trả > Phá: hành giấy tờ có giá,Phá: hành giấy tờ có giá,-,-,-,-,-,3.853.617,14.109.800,2.366.419,20.329.836,,,,,,3853617.0,14109800.0,2366419.0,20329836.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,7.375.838,-,-,-,-,-,-,7.375.838,,7375838.0,,,,,,,7375838.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,7.375.838,78.512.697,95.195.462,85.330.180,17.048.503,69.699.921,2.393.716,355.556.317,,7375838.0,78512697.0,95195462.0,85330180.0,17048503.0,69699921.0,2393716.0,355556317.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,2.602.470,25.935.838,(62.346.488),171.149.530,(77.133.381),(12.767.946),(43.993.764),28.463.664,31.909.923,2602470.0,25935838.0,-62346488.0,171149530.0,-77133381.0,-12767946.0,-43993764.0,28463664.0,31909923.0
Mức chênh nhạy cảm với lãi suất - ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - ngoại bảng,Mức chênh nhạy cảm với lãi suất - ngoại bảng,-,(12.267.523),-,-,-,-,-,-,(12.267.523),,-12267523.0,,,,,,,-12267523.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.602.470,13.668.315,(62.346.488),171.149.530,(77.133.381),(12.767.946),(43.993.764),28.463.664,19.642.400,2602470.0,13668315.0,-62346488.0,171149530.0,-77133381.0,-12767946.0,-43993764.0,28463664.0,19642400.0
