row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
II.,II.,II.,Tài sản cố định,220,,34.614.390.170.422,37.324.744.876.764,,220.0,,34614390170422.0,37324744876764.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,34.547.539.161.652,37.253.819.867.854,,221.0,12.0,34547539161652.0,37253819867854.0
,,,- Nguyên giá,222,,69.598.352.871.503,69.507.844.267.015,,222.0,,69598352871503.0,69507844267015.0
,,,- Giá trị hao mòn lũy kế,223,,(35.050.813.709.851),(32.254.024.399.161),,223.0,,-35050813709851.0,-32254024399161.0
2.,2.,2.,Tài sản cố định vô hình,227,13,66.851.008.770,70.925.008.910,,227.0,13.0,66851008770.0,70925008910.0
,,,- Nguyên giá,228,,120.869.485.394,114.845.032.894,,228.0,,120869485394.0,114845032894.0
,,,- Giá trị hao mòn lũy kế,229,,(54.018.476.624),(43.920.023.984),,229.0,,-54018476624.0,-43920023984.0
III.,III.,III.,Bất động sản đầu tư,230,,,,,230.0,,,
,,,- Nguyên giá,231,,17.545.622.940,17.545.622.940,,231.0,,17545622940.0,17545622940.0
,,,- Giá trị hao mòn lũy kế,232,,(17.545.622.940),(17.545.622.940),,232.0,,-17545622940.0,-17545622940.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,250.987.647.245,220.091.508.176,,240.0,,250987647245.0,220091508176.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,250.987.647.245,220.091.508.176,,242.0,14.0,250987647245.0,220091508176.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,1.027.824.922.471,985.538.690.891,,250.0,,1027824922471.0,985538690891.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,5,458.974.091.681,416.643.121.743,,252.0,5.0,458974091681.0,416643121743.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,5,604.520.976.073,604.520.976.073,,253.0,5.0,604520976073.0,604520976073.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,5,(35.670.145.283),(35.625.406.925),,254.0,5.0,-35670145283.0,-35625406925.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,1.256.488.575.389,1.100.373.995.546,,260.0,,1256488575389.0,1100373995546.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,564.711.042.501,469.109.722.206,,261.0,11.0,564711042501.0,469109722206.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,15,135.622.632.816,3.937.045.171,,262.0,15.0,135622632816.0,3937045171.0
3.,3.,3.,"Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,16,554.089.718.607,618.325.227.296,,263.0,16.0,554089718607.0,618325227296.0
4.,4.,4.,Lợi thế thương mại,269,,2.065.181.465,9.002.000.873,,269.0,,2065181465.0,9002000873.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,54.050.146.599.573,55.722.625.509.108,,270.0,,54050146599573.0,55722625509108.0
