row_label_raw,row_label_full,col_0,01/01/2023 > Giá trịVND,01/01/2023 > Giá gốcVND,Trong nam > TăngVND,Trong nam > GiảmVND,31/12/2023 > Giá trịVND,31/12/2023 > Giá gốcVND,numeric__01/01/2023 > Giá trịVND,numeric__01/01/2023 > Giá gốcVND,numeric__Trong nam > TăngVND,numeric__Trong nam > GiảmVND,numeric__31/12/2023 > Giá trịVND,numeric__31/12/2023 > Giá gốcVND
- Trái phiếu dài hạn đến hạn trả,a) Vay ngắn hạn > - Trái phiếu dài hạn đến hạn trả,- Trái phiếu dài hạn đến hạn trả,450.000.000.000,450.000.000.000,-,353.548.320.000,96.451.680.000,96.451.680.000,450000000000.0,450000000000.0,,353548320000.0,96451680000.0,96451680000.0
,,,934.995.883.962,934.995.883.962,1.103.361.471.262,1.627.364.623.403,410.992.731.821,410.992.731.821,934995883962.0,934995883962.0,1103361471262.0,1627364623403.0,410992731821.0,410992731821.0
b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,b) Vay dài hạn,,,,,,
- Vay dài hạn,b) Vay dài hạn > - Vay dài hạn,- Vay dài hạn,2.272.720.000,2.272.720.000,-,918.000.000,1.354.720.000,1.354.720.000,2272720000.0,2272720000.0,,918000000.0,1354720000.0,1354720000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,b) Vay dài hạn > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Thái Hà,2.272.720.000,2.272.720.000,-,918.000.000,1.354.720.000,1.354.720.000,2272720000.0,2272720000.0,,918000000.0,1354720000.0,1354720000.0
- Trái phiếu thường,b) Vay dài hạn > - Trái phiếu thường,- Trái phiếu thường,450.000.000.000,450.000.000.000,-,-,450.000.000.000,450.000.000.000,450000000000.0,450000000000.0,,,450000000000.0,450000000000.0
- Nợ thuê tài chính dài hạn,- Nợ thuê tài chính dài hạn,- Nợ thuê tài chính dài hạn,,,,,-,,,,,,,
,,,452.272.720.000,452.272.720.000,-,918.000.000,451.354.720.000,451.354.720.000,452272720000.0,452272720000.0,,918000000.0,451354720000.0,451354720000.0
Khoản đến hạn trả trong vòng 12 tháng,- Nợ thuê tài chính dài hạn > Khoản đến hạn trả trong vòng 12 tháng,Khoản đến hạn trả trong vòng 12 tháng,(450.000.000.000),(450.000.000.000),(1.836.000.000),(354.466.320.000),(97.369.680.000),(97.369.680.000),-450000000000.0,-450000000000.0,-1836000000.0,-354466320000.0,-97369680000.0,-97369680000.0
Khoản đến hạn trả sau 12 tháng,- Nợ thuê tài chính dài hạn > Khoản đến hạn trả sau 12 tháng,Khoản đến hạn trả sau 12 tháng,2.272.720.000,2.272.720.000,,,353.985.040.000,353.985.040.000,2272720000.0,2272720000.0,,,353985040000.0,353985040000.0
