row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,numeric__Môi quan hệ
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Công ty cùng Tập đoàn,
Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Công ty cùng Tập đoàn,
Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Công ty cùng Tập đoàn,
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Đơn vị cùng Tập đoàn,
Công ty Cổ phần Xăng đầu - Dầu khí Vũng Tầu,Công ty Cổ phần Xăng đầu - Dầu khí Vũng Tầu,Công ty Cổ phần Xăng đầu - Dầu khí Vũng Tầu,Công ty cùng Tập đoàn,
Công ty Cổ phần Đào tạo kỹ thuật PVD,Công ty Cổ phần Đào tạo kỹ thuật PVD,Công ty Cổ phần Đào tạo kỹ thuật PVD,Công ty cùng Tập đoàn,
Trường Đại học Dầu khí Việt Nam,Trường Đại học Dầu khí Việt Nam,Trường Đại học Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,Công ty cùng Tập đoàn,
Công ty Cổ phần Năng lượng tải tạo Điện Lực Dầu Khí,Công ty Cổ phần Năng lượng tải tạo Điện Lực Dầu Khí,Công ty Cổ phần Năng lượng tải tạo Điện Lực Dầu Khí,Công ty cùng Tập đoàn,
Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Việt Nam,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Việt Nam,Công ty Cổ phần Thương mại và Dịch vụ Dầu khí Việt Nam,Công ty cùng Tập đoàn,
Công ty TNHH Dung dịch Khoan Và Dịch vụ Dầu Khí,Công ty TNHH Dung dịch Khoan Và Dịch vụ Dầu Khí,Công ty TNHH Dung dịch Khoan Và Dịch vụ Dầu Khí,Công ty cùng Tập đoàn,
Công ty Cổ phần Quản lý và Khai thác Tài sản Dầu khí,Công ty Cổ phần Quản lý và Khai thác Tài sản Dầu khí,Công ty Cổ phần Quản lý và Khai thác Tài sản Dầu khí,Công ty cùng Tập đoàn,
Công ty Cổ Phần Dịch Vụ Tổng hợp Dầu Khí Vũng Tầu,Công ty Cổ Phần Dịch Vụ Tổng hợp Dầu Khí Vũng Tầu,Công ty Cổ Phần Dịch Vụ Tổng hợp Dầu Khí Vũng Tầu,Công ty cùng Tập đoàn,
Công ty Cổ phần Bất động sản Dầu khí,Công ty Cổ phần Bất động sản Dầu khí,Công ty Cổ phần Bất động sản Dầu khí,Công ty cùng Tập đoàn,
Tổng Công ty Bảo dưỡng – Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo dưỡng – Sửa chữa Công trình Dầu khí - CTCP,Tổng Công ty Bảo dưỡng – Sửa chữa Công trình Dầu khí - CTCP,Công ty cùng Tập đoàn,
Công ty TNHH Dịch vụ Kỹ thuật Công nghiệp PVChem,Công ty TNHH Dịch vụ Kỹ thuật Công nghiệp PVChem,Công ty TNHH Dịch vụ Kỹ thuật Công nghiệp PVChem,Công ty cùng Tập đoàn,
