row_label_raw,row_label_full,col_0,Số cuối năm VND,Ngày đáo hạn,numeric__Số cuối năm VND,numeric__Ngày đáo hạn
Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),,
Khoản vay số 1,Vietinbank - Chi nhánh Kiên Giang (iv) > Khoản vay số 1,Khoản vay số 1,219.382.570.429,Ngày 7 tháng 12 năm 2020,219382570429.0,
Khoản vay số 2,Vietinbank - Chi nhánh Kiên Giang (iv) > Khoản vay số 2,Khoản vay số 2,142.574.374.999,Ngày 7 tháng 12 năm 2020,142574374999.0,
Ngân hàng Phát triển Việt Nam (v),Vietinbank - Chi nhánh Kiên Giang (iv) > Ngân hàng Phát triển Việt Nam (v),Ngân hàng Phát triển Việt Nam (v),68.619.204.157,Ngày 30 tháng 12 năm 2018,68619204157.0,
Vietcombank - Chi nhánh Kiên Giang (vi),Vietcombank - Chi nhánh Kiên Giang (vi),Vietcombank - Chi nhánh Kiên Giang (vi),Vietcombank - Chi nhánh Kiên Giang (vi),Vietcombank - Chi nhánh Kiên Giang (vi),,
Khoản vay số 1,Vietcombank - Chi nhánh Kiên Giang (vi) > Khoản vay số 1,Khoản vay số 1,42.837.950.180,Ngày 8 tháng 5 năm 2018,42837950180.0,
Khoản vay số 2,Vietcombank - Chi nhánh Kiên Giang (vi) > Khoản vay số 2,Khoản vay số 2,21.400.000.000,Ngày 24 tháng 12 năm 2018,21400000000.0,
Ngân hàng Calyon (vii),Ngân hàng Calyon (vii),Ngân hàng Calyon (vii),Ngân hàng Calyon (vii),Ngân hàng Calyon (vii),,
Khoản vay số 1,Ngân hàng Calyon (vii) > Khoản vay số 1,Khoản vay số 1,351.380.977.952,Ngày 30 tháng 6 năm 2021,351380977952.0,
Khoản vay số 2,Ngân hàng Calyon (vii) > Khoản vay số 2,Khoản vay số 2,112.070.394.772,Ngày 30 tháng 6 năm 2021,112070394772.0,
Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii),,
Khoản vay số 1,Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii) > Khoản vay số 1,Khoản vay số 1,69.414.670.548,Ngày 25 tháng 4 năm 2020,69414670548.0,
Khoản vay số 2,Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii) > Khoản vay số 2,Khoản vay số 2,52.120.893.945,Ngày 25 tháng 4 năm 2020,52120893945.0,
TỔNG CỘNG,Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (viii) > TỔNG CỘNG,TỔNG CỘNG,3.446.489.293.532,,3446489293532.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,870.224.409.313,,870224409313.0,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,2.576.264.884.219,,2576264884219.0,
