row_label_raw,row_label_full,CHỈ TIỀU,Mã số,TM,Năm 2020,Năm 2019,numeric__Mã số,numeric__TM,numeric__Năm 2020,numeric__Năm 2019
"Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác",21,,(132.209.656.335),(77.330.418.144),21.0,,-132209656335.0,-77330418144.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,,(30.000.000),-,22.0,,-30000000.0,
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác","LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua công cụ nợ của đơn vị khác","Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,,(2.897.044.148.252),(1.454.000.000.000),23.0,,-2897044148252.0,-1454000000000.0
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,,2.748.241.537.968,444.394.393.539,24.0,,2748241537968.0,444394393539.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(165.001.407.202),-,25.0,,-165001407202.0,
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,801.468.302.398,169.769.715.257,27.0,,801468302398.0,169769715257.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,355.424.628.577,(917.166.309.348),30.0,,355424628577.0,-917166309348.0
LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
Tiền thu từ đi vay,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,7.1,4.125.897.918.670,1.579.356.570.034,33.0,71.0,4125897918670.0,1579356570034.0
Tiền trả nợ gốc vay,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,7.2,(5.126.392.612.677),(2.508.570.471.127),34.0,72.0,-5126392612677.0,-2508570471127.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(510.073.724.250),(373.341.294.000),36.0,,-510073724250.0,-373341294000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(1.510.568.418.257),(1.302.555.195.093),40.0,,-1510568418257.0,-1302555195093.0
LU'|U CHUYÊN TIỀN THUẦN TRONG KỸ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > LU'|U CHUYÊN TIỀN THUẦN TRONG KỸ,LU'|U CHUYÊN TIỀN THUẦN TRONG KỸ,50,,184.080.791.438,(70.357.569.190),50.0,,184080791438.0,-70357569190.0
Tiền và tương đương tiền đầu kỳ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,,229.730.030.066,300.087.599.256,60.0,,229730030066.0,300087599256.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,-,-,61.0,,,
Tiền và tương đương tiền cuối kỳ,LU'|U CHUYÊN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ,Tiền và tương đương tiền cuối kỳ,70,,413.810.821.504,229.730.030.066,70.0,,413810821504.0,229730030066.0
