row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2020,01/01/2020,numeric__Mã số,numeric__TM,numeric__31/12/2020,numeric__01/01/2020
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,13.477.187.694.967,14.830.504.264.276,200.0,,13477187694967.0,14830504264276.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.766.716.247.541,1.938.227.189.635,210.0,,1766716247541.0,1938227189635.0
Vốn kinh doanh ở đơn vị trực thuộc,Vốn kinh doanh ở đơn vị trực thuộc,Vốn kinh doanh ở đơn vị trực thuộc,213,,-,-,213.0,,,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,5.3,1.766.516.247.541,1.937.261.637.257,215.0,53.0,1766516247541.0,1937261637257.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.5,200.000.000,965.552.378,216.0,55.0,200000000.0,965552378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,,-,-,219.0,,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,9.297.831.706.690,10.243.189.086.011,220.0,,9297831706690.0,10243189086011.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,5.8,9.264.509.538.088,10.206.999.886.358,221.0,58.0,9264509538088.0,10206999886358.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,22.149.884.347.490,22.011.070.496.637,222.0,,22149884347490.0,22011070496637.0
- Giá trị hao mòn lũy kế (*),- Giá trị hao mòn lũy kế (*),- Giá trị hao mòn lũy kế (*),223,,(12.885.374.809.402),(11.804.070.610.279),223.0,,-12885374809402.0,-11804070610279.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,5.9,33.322.168.602,36.189.199.653,227.0,59.0,33322168602.0,36189199653.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,45.950.656.941,45.955.964.240,228.0,,45950656941.0,45955964240.0
- Giá trị hao mòn lũy kế (*),- Giá trị hao mòn lũy kế (*),- Giá trị hao mòn lũy kế (*),229,,(12.628.488.339),(9.766.764.587),229.0,,-12628488339.0,-9766764587.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.7,73.293.454.647,65.429.110.558,240.0,57.0,73293454647.0,65429110558.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,1.053.494.656,873.587.951,241.0,,1053494656.0,873587951.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,72.239.959.991,64.555.522.607,242.0,,72239959991.0,64555522607.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,1.656.496.559.363,2.151.137.113.804,250.0,52.0,1656496559363.0,2151137113804.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,2.048.308.180.128,1.883.306.772.926,251.0,,2048308180128.0,1883306772926.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.224.938.734.159,253.0,,1224938734159.0,1224938734159.0
Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,,(1.616.750.354.924),(957.108.393.281),254.0,,-1616750354924.0,-957108393281.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,682.849.726.726,432.521.764.268,260.0,,682849726726.0,432521764268.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.10,230.646.707.382,194.692.962.084,261.0,510.0,230646707382.0,194692962084.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,5.16,315.008.195.744,109.994.000.583,262.0,516.0,315008195744.0,109994000583.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,137.194.823.600,127.834.801.601,263.0,,137194823600.0,127834801601.0
