row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND","Phương tiện vântải, truyền dẫnVND","Thiết bị, dụng cụquản lýVND",TSCĐ hữuhình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND","numeric__Phương tiện vântải, truyền dẫnVND","numeric__Thiết bị, dụng cụquản lýVND",numeric__TSCĐ hữuhình khácVND,numeric__Tổng cộngVND
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,356.409.978.699,719.279.338.160,11.098.244.365,1.198.044.042,14.767.121.126,1.102.752.726.392,356409978699.0,719279338160.0,11098244365.0,1198044042.0,14767121126.0,1102752726392.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,617.702.557,-,-,-,64.005.394,681.707.951,617702557.0,,,,64005394.0,681707951.0
- Tăng khác,GIÁ TRỊ HAO MÒN > - Tăng khác,- Tăng khác,695.968.543,2.351.163.807,-,15.303.301,266.233.265,3.328.668.916,695968543.0,2351163807.0,,15303301.0,266233265.0,3328668916.0
"- Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(147.890.909),(12.458.224.291),-,-,-,(12.606.115.200),-147890909.0,-12458224291.0,,,,-12606115200.0
- Giảm khác,GIÁ TRỊ HAO MÒN > - Giảm khác,- Giảm khác,(3.328.668.916),(9.524.120.020),-,-,-,(12.852.788.936),-3328668916.0,-9524120020.0,,,,-12852788936.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN > Số dư cuối năm,Số dư cuối năm,2.574.900.233.707,9.777.360.941.923,229.734.637.333,52.036.962.326,251.342.034.113,12.885.374.809.402,2574900233707.0,9777360941923.0,229734637333.0,52036962326.0,251342034113.0,12885374809402.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,4.567.328.879.435,5.588.554.132.514,30.597.114.320,2.538.878.453,17.980.881.636,10.206.999.886.358,4567328879435.0,5588554132514.0,30597114320.0,2538878453.0,17980881636.0,10206999886358.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.239.416.145.007,4.994.487.658.652,23.467.769.376,2.633.612.928,4.504.352.125,9.264.509.538.088,4239416145007.0,4994487658652.0,23467769376.0,2633612928.0,4504352125.0,9264509538088.0
Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,GIÁ TRỊ CÒN LẠI > Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,Giá trị còn lại cuối năm của TSCĐ hữu hình dùng để thế chấp đảm bảo khoản vay:,9.082.570.530.079,,,,,,9082570530079.0
Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,Nguyên giá TSCĐ cuối năm đã khấu hao hết nhưng vấn còn sử dụng:,3.446.677.584.196,,,,,,3446677584196.0
Nguyên giá TSCĐ cuối năm chờ thanh lý:,GIÁ TRỊ CÒN LẠI > Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,Nguyên giá TSCĐ cuối năm chờ thanh lý:,9.010.550.652,,,,,,9010550652.0
