row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tải và thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.348.174.128.641,2.105.368.330.024,529.874.653.645,127.337.065.181,18.125.577.379.514,23.236.331.557.005,2348174128641.0,2105368330024.0,529874653645.0,127337065181.0,18125577379514.0,23236331557005.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,402.603.067.014,417.393.919.240,60.545.006.911,46.587.473.506,2.241.443.590.062,3.168.573.056.733,402603067014.0,417393919240.0,60545006911.0,46587473506.0,2241443590062.0,3168573056733.0
Chuyển sang từ Tài sản thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang từ Tài sản thuê tài chính,Chuyển sang từ Tài sản thuê tài chính,-,135.284.593.646,-,-,-,135.284.593.646,,135284593646.0,,,,135284593646.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.041.965.253),(1.550.663.740),(85.373.845),(2.504.074.480),(242.374.635),(8.424.451.953),-4041965253.0,-1550663740.0,-85373845.0,-2504074480.0,-242374635.0,-8424451953.0
Phân loại sang Bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại sang Bất động sản đầu tư,Phân loại sang Bất động sản đầu tư,(790.820.429),-,-,-,-,(790.820.429),-790820429.0,,,,,-790820429.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,307.621.243,(1.601.875.887),907.850.067,539.239.080,(152.834.503),-,307621243.0,-1601875887.0,907850067.0,539239080.0,-152834503.0,
Tăng/(Giảm) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(Giảm) khác,Tăng/(Giảm) khác,1.168.256.904,(1.734.214.955),7.303.071,(71.177),11.003.785,(547.722.372),1168256904.0,-1734214955.0,7303071.0,-71177.0,11003785.0,-547722372.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.747.420.288.120,2.653.160.088.328,591.249.439.849,171.959.632.110,20.366.636.764.223,26.530.426.212.630,2747420288120.0,2653160088328.0,591249439849.0,171959632110.0,20366636764223.0,26530426212630.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.350.973.606.063,2.976.101.204.852,197.309.796.009,86.863.252.826,10.134.472.337.512,16.745.720.197.262,3350973606063.0,2976101204852.0,197309796009.0,86863252826.0,10134472337512.0,16745720197262.0
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.598.080.785.296,2.801.195.899.519,234.792.456.104,114.756.916.218,7.695.859.092.904,14.444.685.150.041,3598080785296.0,2801195899519.0,234792456104.0,114756916218.0,7695859092904.0,14444685150041.0
