row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9),numeric__VND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9)
Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Trang trí Nội thất Onwa Tech,Công ty Cổ phần Trang trí Nội thất Onwa Tech,Chi phí trả hộ,2.344.096.786,2.964.861.532,,2344096786.0,2964861532.0
Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần 479 Hòa Bình,Cổ tức phải thu,2.054.850.000,1.602.982.800,,2054850000.0,1602982800.0
Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần 479 Hòa Bình,Công ty Cổ phần 479 Hòa Bình,Chi phí trả hộ,-,1.280.000,,,1280000.0
Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Công ty Cổ phần Đầu tư Phát triển Hòa Yên,Chi phí trả hộ,1.382.536.766,1.382.536.766,,1382536766.0,1382536766.0
Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Công ty Cổ phần Kỹ thuật Jesco Hòa Bình,Chi phí trả hộ,591.422.871,302.419.722,,591422871.0,302419722.0
Công ty TNHH Sơn Hòa Bình - Chi nhánh Hưng Yên,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty TNHH Sơn Hòa Bình - Chi nhánh Hưng Yên,Công ty TNHH Sơn Hòa Bình - Chi nhánh Hưng Yên,Chi phí trả hộ,194.957.788,250.913.551,,194957788.0,250913551.0
Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Chi phí trả hộ,169.519.247,169.519.247,,169519247.0,169519247.0
Công ty Cổ phần Interhouse LA,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty Cổ phần Interhouse LA,Công ty Cổ phần Interhouse LA,Chi phí trả hộ,9.100.000,-,,9100000.0,
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Cổ tức phải thu,-,599.659.039,,,599659039.0
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Thuê văn phòng,-,149.339.174,,,149339174.0
Công ty TNHH Sơn Hòa Bình,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Chi phí trả hộ,-,28.480.000,,,28480000.0
Công ty TNHH MTV Máy Xây dựng Matec,Công ty Cổ phần Đầu tư Địa ốc Tiến Phát > Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Chi phí trả hộ,-,28.232.478,,,28232478.0
