row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc 31/12/2015 Triệu VND,Năm kết thúc 31/12/2014 Triệu VND (Trình bày lại),numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc 31/12/2015 Triệu VND,numeric__Năm kết thúc 31/12/2014 Triệu VND (Trình bày lại)
10,(Tăng)/Giảm về tài sản hoạt động > 10,10,Các khoản về kinh doanh chứng khoán,,(49.009.427),(9.885.836),,,-49009427.0,-9885836.0
11,(Tăng)/Giảm về tài sản hoạt động > 11,11,Các công cụ tài chính phải sinh và các tài sản tài chính khác,,(628),136.725,,,-628.0,136725.0
12,(Tăng)/Giảm về tài sản hoạt động > 12,12,Các khoản cho vay khách hàng,,(63.322.055),(48.630.786),,,-63322055.0,-48630786.0
13,(Tăng)/Giảm về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản cho vay,,(4.028.310),(4.397.547),,,-4028310.0,-4397547.0
14,(Tăng)/Giảm về tài sản hoạt động > 14,14,Tài sản hoạt động khác,,(516.766),(484.567),,,-516766.0,-484567.0
Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,Tăng/(Giảm) về công nợ hoạt động,,,,
15,Tăng/(Giảm) về công nợ hoạt động > 15,15,Các khoản nợ Chính phủ và NHNN,,(12.613.519),21.470.661,,,-12613519.0,21470661.0
16,Tăng/(Giảm) về công nợ hoạt động > 16,16,"Các khoản tiền gửi, tiền vay các tổ chức tín dụng",,28.805.402,(728.513),,,28805402.0,-728513.0
17,Tăng/(Giảm) về công nợ hoạt động > 17,17,Các khoản tiền gửi của khách hàng,,78.269.900,89.773.388,,,78269900.0,89773388.0
18,Tăng/(Giảm) về công nợ hoạt động > 18,18,Các khoản phát hành giấy tờ có giá,,(1.571),(4.956),,,-1571.0,-4956.0
20,Tăng/(Giảm) về công nợ hoạt động > 20,20,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,(75.278),75.278,,,-75278.0,75278.0
21,Tăng/(Giảm) về công nợ hoạt động > 21,21,Công nợ hoạt động khác,,(478.541),(4.272.462),,,-478541.0,-4272462.0
22,Tăng/(Giảm) về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tín dụng,,(480.845),(504.930),,,-480845.0,-504930.0
I,Tăng/(Giảm) về công nợ hoạt động > I,I,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(7.490.910),42.029.372,,,-7490910.0,42029372.0
