row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,JPYTriệu VND,AUDTriệu VND,CADTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__JPYTriệu VND,numeric__AUDTriệu VND,numeric__CADTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản cố định,Các công cụ tài chính phải sinh và các tài sản > Tài sản cố định,Tài sản cố định,2.804.555,-,-,-,-,-,-,-,2.804.555,2804555.0,,,,,,,,2804555.0
Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản > Bất động sản đầu tư,Bất động sản đầu tư,8.654,-,-,-,-,-,-,-,8.654,8654.0,,,,,,,,8654.0
Tài sản Có khác – gộp,Các công cụ tài chính phải sinh và các tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,10.144.705,269.962,3.852,28,63.303,-,9,16.554,10.498.413,10144705.0,269962.0,3852.0,28.0,63303.0,,9.0,16554.0,10498413.0
,,,169.188.187,12.786.136,647.767,101.412,110.408,18.123,9.528,32.944,182.894.505,169188187.0,12786136.0,647767.0,101412.0,110408.0,18123.0,9528.0,32944.0,182894505.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,4.820.966,1.324.152,-,19,22,79,-,-,6.145.238,4820966.0,1324152.0,,19.0,22.0,79.0,,,6145238.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,143.495.516,10.979.000,-,74.751,41.435,11.032,1.513,10.341,154.613.588,143495516.0,10979000.0,,74751.0,41435.0,11032.0,1513.0,10341.0,154613588.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",158.734,-,-,-,29.421,-,-,-,188.155,158734.0,,,,29421.0,,,,188155.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,3.078.000,-,-,-,-,-,-,-,3.078.000,3078000.0,,,,,,,,3078000.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,2.707.692,286.846,-,22.190,135.611,8.350,5.685,21.113,3.187.487,2707692.0,286846.0,,22190.0,135611.0,8350.0,5685.0,21113.0,3187487.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,12.397.303,-,-,-,-,-,-,-,12.397.303,12397303.0,,,,,,,,12397303.0
,,,166.658.211,12.589.998,-,96.960,206.489,19.461,7.198,31.454,179.609.771,166658211.0,12589998.0,,96960.0,206489.0,19461.0,7198.0,31454.0,179609771.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,2.529.976,196.138,647.767,4.452,(96.081),(1.338),2.330,1.490,3.284.734,2529976.0,196138.0,647767.0,4452.0,-96081.0,-1338.0,2330.0,1490.0,3284734.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(3.861.505),(5.409.125),-,(54.755),(197.790),817,(2.293),(7.421),(9.532.072),-3861505.0,-5409125.0,,-54755.0,-197790.0,817.0,-2293.0,-7421.0,-9532072.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(1.331.529),(5.212.987),647.767,(50.303),(293.871),(521),37,(5.931),(6.247.338),-1331529.0,-5212987.0,647767.0,-50303.0,-293871.0,-521.0,37.0,-5931.0,-6247338.0
