row_label_raw,row_label_full,col_0,31/12/2015VND,1/1/2015VNDĐã phân loại lại,numeric__31/12/2015VND,numeric__1/1/2015VNDĐã phân loại lại
Công ty Xăng dầu Quảng Trị,Công ty Xăng dầu Quảng Trị,Công ty Xăng dầu Quảng Trị,35.861.441.324,53.639.790.801,35861441324.0,53639790801.0
Công ty Xăng dầu Hà Nam Ninh,Công ty Xăng dầu Hà Nam Ninh,Công ty Xăng dầu Hà Nam Ninh,34.782.683.222,80.065.442.083,34782683222.0,80065442083.0
Công ty Xăng dầu Cao Bằng,Công ty Xăng dầu Cao Bằng,Công ty Xăng dầu Cao Bằng,33.581.616.496,41.454.473.284,33581616496.0,41454473284.0
Công ty Xăng dầu Bình Định,Công ty Xăng dầu Bình Định,Công ty Xăng dầu Bình Định,31.493.138.868,39.926.447.720,31493138868.0,39926447720.0
Công ty Xăng dầu Lào Cai,Công ty Xăng dầu Lào Cai,Công ty Xăng dầu Lào Cai,30.272.615.175,43.180.341.329,30272615175.0,43180341329.0
Công ty Xăng dầu Yên Bái,Công ty Xăng dầu Yên Bái,Công ty Xăng dầu Yên Bái,28.984.754.325,29.574.919.093,28984754325.0,29574919093.0
Công ty TNHH MTV Xăng dầu Trà Vinh,Công ty TNHH MTV Xăng dầu Trà Vinh,Công ty TNHH MTV Xăng dầu Trà Vinh,24.778.214.765,22.233.716.410,24778214765.0,22233716410.0
Công ty Xăng dầu Quảng Bình,Công ty Xăng dầu Quảng Bình,Công ty Xăng dầu Quảng Bình,20.876.048.616,34.074.415.795,20876048616.0,34074415795.0
Công ty Xăng dầu Nghệ An,Công ty Xăng dầu Nghệ An,Công ty Xăng dầu Nghệ An,20.510.419.763,72.159.503.055,20510419763.0,72159503055.0
Công ty Xăng dầu Điện Biên,Công ty Xăng dầu Điện Biên,Công ty Xăng dầu Điện Biên,20.074.447.791,19.217.633.613,20074447791.0,19217633613.0
Công ty Xăng dầu Tuyên Quang,Công ty Xăng dầu Tuyên Quang,Công ty Xăng dầu Tuyên Quang,17.523.524.688,30.304.894.915,17523524688.0,30304894915.0
Công ty Xăng dầu Thừa Thiên Huế,Công ty Xăng dầu Thừa Thiên Huế,Công ty Xăng dầu Thừa Thiên Huế,15.734.349.586,36.439.089.704,15734349586.0,36439089704.0
Công ty Xăng dầu Phú Khánh,Công ty Xăng dầu Phú Khánh,Công ty Xăng dầu Phú Khánh,13.687.696.403,29.828.516.150,13687696403.0,29828516150.0
Công ty TNHH MTV Xăng dầu Tiền Giang,Công ty TNHH MTV Xăng dầu Tiền Giang,Công ty TNHH MTV Xăng dầu Tiền Giang,13.469.987.458,50.734.411.905,13469987458.0,50734411905.0
Công ty TNHH MTV Xăng dầu Nam Tây Nguyên,Công ty TNHH MTV Xăng dầu Nam Tây Nguyên,Công ty TNHH MTV Xăng dầu Nam Tây Nguyên,12.569.905.110,42.295.646.711,12569905110.0,42295646711.0
Công ty Xăng dầu Lai Châu,Công ty Xăng dầu Lai Châu,Công ty Xăng dầu Lai Châu,11.090.626.138,-,11090626138.0,
Công ty Xăng dầu Thái Bình,Công ty Xăng dầu Thái Bình,Công ty Xăng dầu Thái Bình,9.553.009.667,24.491.846.599,9553009667.0,24491846599.0
Công ty Xăng dầu Tây Ninh,Công ty Xăng dầu Tây Ninh,Công ty Xăng dầu Tây Ninh,9.149.104.599,25.622.338.154,9149104599.0,25622338154.0
Công ty TNHH MTV Xăng dầu Quảng Ngãi,Công ty TNHH MTV Xăng dầu Quảng Ngãi,Công ty TNHH MTV Xăng dầu Quảng Ngãi,8.648.477.268,24.595.804.588,8648477268.0,24595804588.0
Công ty Xăng dầu Bến Tre,Công ty Xăng dầu Bến Tre,Công ty Xăng dầu Bến Tre,7.767.549.638,24.719.632.011,7767549638.0,24719632011.0
Công ty Xăng dầu Bắc Thái,Công ty Xăng dầu Bắc Thái,Công ty Xăng dầu Bắc Thái,7.664.214.476,48.182.598.072,7664214476.0,48182598072.0
Công ty Xăng dầu Hà Bắc,Công ty Xăng dầu Hà Bắc,Công ty Xăng dầu Hà Bắc,3.466.114.487,33.801.363.773,3466114487.0,33801363773.0
Công ty Xăng dầu Đồng Nai,Công ty Xăng dầu Đồng Nai,Công ty Xăng dầu Đồng Nai,1.737.840.891,39.318.501.205,1737840891.0,39318501205.0
Công ty Xăng dầu Hà Sơn Bình,Công ty Xăng dầu Hà Sơn Bình,Công ty Xăng dầu Hà Sơn Bình,-,48.182.137.953,,48182137953.0
Công ty Xăng dầu KV1 – Công ty TNHH MTV,Công ty Xăng dầu KV1 – Công ty TNHH MTV,Công ty Xăng dầu KV1 – Công ty TNHH MTV,-,158.220.409.791,,158220409791.0
Công ty Xăng dầu Sông Bé – Công ty TNHH MTV,Công ty Xăng dầu Sông Bé – Công ty TNHH MTV,Công ty Xăng dầu Sông Bé – Công ty TNHH MTV,-,9.887.539.977,,9887539977.0
Công ty Xăng dầu Đồng Tháp,Công ty Xăng dầu Đồng Tháp,Công ty Xăng dầu Đồng Tháp,-,4.807.070.021,,4807070021.0
Công ty Xăng dầu Lâm Đồng,Công ty Xăng dầu Lâm Đồng,Công ty Xăng dầu Lâm Đồng,-,1.806.063.078,,1806063078.0
,,,4.699.417.203.590,5.725.840.204.705,4699417203590.0,5725840204705.0
