row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4)
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,2.900.000.000,-,2900000000.0,
,,,90.075.900.000,69.200.397.839,90075900000.0,69200397839.0
Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),Phải thu ngắn hạn khác (Thuyết minh 7(a)),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,851.457.762,111.500.247.706,851457762.0,111500247706.0
Công ty Cổ phần Điện TTC Đức Huệ-Long An,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Điện TTC Đức Huệ-Long An,Công ty Cổ phần Điện TTC Đức Huệ-Long An,7.120.000.000,14.911.175.331,7120000000.0,14911175331.0
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,6.516.000.000,-,6516000000.0,
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,3.900.000.000,6.214.650.685,3900000000.0,6214650685.0
Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,Công ty Cổ phần Nhà máy Điện Mặt trời Trúc Sơn,-,16.384.313.000,,16384313000.0
Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,Công ty TNHH Một thành viên Xây lắp và Cơ điện Gia Lai,-,4.237.242.250,,4237242250.0
Công ty Cổ phần Đầu tư Thành Thành Công,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,-,205.959.520.000,,205959520000.0
Công ty Cổ phần Điện gió la Bang,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Điện gió la Bang,Công ty Cổ phần Điện gió la Bang,-,309.041.096,,309041096.0
Công ty Cổ phần Thủy điện Gia Lai,Phải thu ngắn hạn khác (Thuyết minh 7(a)) > Công ty Cổ phần Thủy điện Gia Lai,Công ty Cổ phần Thủy điện Gia Lai,-,7.645.000,,7645000.0
,,,18.387.457.762,359.523.835.068,18387457762.0,359523835068.0
