row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty Cổ phần Quasa Geruco,Công ty con trên 50% vốn > - Công ty Cổ phần Quasa Geruco,- Công ty Cổ phần Quasa Geruco,Tỉnh Quảng Trị,"75,23%","75,23%",Trồng và khai thác cao su,,0.7523000000000001,0.7523000000000001,
- Công ty Cổ phần Cao Su Lai Châu,Công ty con trên 50% vốn > - Công ty Cổ phần Cao Su Lai Châu,- Công ty Cổ phần Cao Su Lai Châu,Tỉnh Lai Châu,"83,30%","83,30%",Trồng và khai thác cao su,,0.833,0.833,
- Công ty Cổ phần Cao Su Điện Biên,Công ty con trên 50% vốn > - Công ty Cổ phần Cao Su Điện Biên,- Công ty Cổ phần Cao Su Điện Biên,Tỉnh Điện Biên,"61,03%","61,03%",Trồng và khai thác cao su,,0.6103000000000001,0.6103000000000001,
- Công ty Cổ phần Cao su Phước Hòa,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Phước Hòa,- Công ty Cổ phần Cao su Phước Hòa,Tỉnh Bình Dương,"66,62%","66,62%",Trồng và khai thác cao su,,0.6662,0.6662,
- Công ty Cổ phần Cao su Lai Châu II,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Lai Châu II,- Công ty Cổ phần Cao su Lai Châu II,Tỉnh Lai Châu,"88,16%","88,16%",Trồng và khai thác cao su,,0.8815999999999999,0.8815999999999999,
- Công ty Cổ phần Cao su Yên Bái,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Yên Bái,- Công ty Cổ phần Cao su Yên Bái,Tỉnh Yên Bái,"80,61%","80,61%",Trồng và khai thác cao su,,0.8061,0.8061,
- Công ty Cổ phần Cao su Hóa Bình,Công ty con trên 50% vốn > - Công ty Cổ phần Cao su Hóa Bình,- Công ty Cổ phần Cao su Hóa Bình,Tỉnh Bà Rịa Vũng Tàu,"55,06%","55,00%",Trồng và khai thác cao su,,0.5506,0.55,
- Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,Công ty con trên 50% vốn > - Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,- Công ty Cổ phần Thương mại Dịch vụ và Du lịch Cao su,Tỉnh Quảng Ninh,"52,51%","52,51%","Dịch vụ du lịch, khách sạn",,0.5251,0.5251,
- Công ty Cổ phần VRG Khải Hoàn,Công ty con trên 50% vốn > - Công ty Cổ phần VRG Khải Hoàn,- Công ty Cổ phần VRG Khải Hoàn,Tỉnh Bình Dương,"51,04%","51,04%",Công nghiệp cao su,,0.5104,0.5104,
- Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,Công ty con trên 50% vốn > - Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,- Công ty Cổ phần Đầu tư Phát triển Cao su Nghệ An,Tỉnh Nghệ An,"92,49%","92,49%",Trồng và khai thác cao su,,0.9248999999999999,0.9248999999999999,
- Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,Công ty con trên 50% vốn > - Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,- Công ty Cổ phần Xuất khẩu Cao su VRG Nhật Bản,Thành phố Hồ Chí Minh,"50,00%","50,00%","Kinh doanh Thương mại, XNK",,0.5,0.5,
- Công ty Cổ phần Gỗ MDF VRG Kiên Giang,Công ty con trên 50% vốn > - Công ty Cổ phần Gỗ MDF VRG Kiên Giang,- Công ty Cổ phần Gỗ MDF VRG Kiên Giang,Tỉnh Kiên Giang,"99,58%","99,58%",Chế biến gỗ,,0.9958,0.9958,
