row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Khônghuống lãiTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 3đến6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 6đến12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Từ trên 1đến5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Khônghuống lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 3đến6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 6đến12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Từ trên 1đến5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2024 > Tổng cộngTriệu VND
,,,7.056.957,19.018.561,124.827.425,103.555.472,86.867.545,104.390.311,43.446.663,9.850.894,499.013.828,7056957.0,19018561.0,124827425.0,103555472.0,86867545.0,104390311.0,43446663.0,9850894.0,499013828.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay từ NHNN và cáctTCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và cáctTCTD khác,Tiền gửi và vay từ NHNN và cáctTCTD khác,-,-,107.476.059,29.676.232,4.635.172,-,13,-,141.787.476,,,107476059.0,29676232.0,4635172.0,,13.0,,141787476.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,96.237,95.803.307,55.824.997,79.721.126,20.921.095,24.205.571,-,276.572.333,,96237.0,95803307.0,55824997.0,79721126.0,20921095.0,24205571.0,,276572333.0
"Vốn tải trợ, ủy thác đầu tư, cho vay","Vốn tải trợ, ủy thác đầu tư, cho vay","Vốn tải trợ, ủy thác đầu tư, cho vay",-,,,,,,,,,,,,,,,,,
TCTD chịu rủi ro,"Vốn tải trợ, ủy thác đầu tư, cho vay > TCTD chịu rủi ro",TCTD chịu rủi ro,,-,3.957,1.411,-,-,-,-,5.368,,,3957.0,1411.0,,,,,5368.0
Phát hành giấy tờ có giá,"Vốn tải trợ, ủy thác đầu tư, cho vay > Phát hành giấy tờ có giá",Phát hành giấy tờ có giá,-,-,402.761,651.818,600.000,2.000.000,17.648.000,2.000.000,23.302.579,,,402761.0,651818.0,600000.0,2000000.0,17648000.0,2000000.0,23302579.0
Các khoản nợ khác,"Vốn tải trợ, ủy thác đầu tư, cho vay > Các khoản nợ khác",Các khoản nợ khác,-,9.887.862,-,-,-,-,-,-,9.887.862,,9887862.0,,,,,,,9887862.0
,,,-,9.984.099,203.686.084,86.154.458,84.956.298,22.921.095,41.853.584,2.000.000,451.555.618,,9984099.0,203686084.0,86154458.0,84956298.0,22921095.0,41853584.0,2000000.0,451555618.0
Mức chênh lệch nhạy cảm với lãi suất - nội bằng,"Vốn tải trợ, ủy thác đầu tư, cho vay > Mức chênh lệch nhạy cảm với lãi suất - nội bằng",Mức chênh lệch nhạy cảm với lãi suất - nội bằng,7.056.957,9.034.462,(78.858.659),17.401.014,1.911.247,81.469.216,1.593.079,7.850.894,47.458.210,7056957.0,9034462.0,-78858659.0,17401014.0,1911247.0,81469216.0,1593079.0,7850894.0,47458210.0
Các cam kết ngoại bằng có tác độngtới mức độ nhạy cảm với lãi suất củacác tài sản và nợ phải trả (thuẩn),"Vốn tải trợ, ủy thác đầu tư, cho vay > Các cam kết ngoại bằng có tác độngtới mức độ nhạy cảm với lãi suất củacác tài sản và nợ phải trả (thuẩn)",Các cam kết ngoại bằng có tác độngtới mức độ nhạy cảm với lãi suất củacác tài sản và nợ phải trả (thuẩn),-,-,(1.406.920),1.337.135,324.741,571.006,8.331,-,834.293,,,-1406920.0,1337135.0,324741.0,571006.0,8331.0,,834293.0
"Mức chênh nhạy cảm với lãi suất nội,ngoại bằng","Vốn tải trợ, ủy thác đầu tư, cho vay > Mức chênh nhạy cảm với lãi suất nội,ngoại bằng","Mức chênh nhạy cảm với lãi suất nội,ngoại bằng",7.056.957,9.034.462,(80.265.579),18.738.149,2.235.988,82.040.222,1.601.410,7.850.894,48.292.503,7056957.0,9034462.0,-80265579.0,18738149.0,2235988.0,82040222.0,1601410.0,7850894.0,48292503.0
