row_label_raw,row_label_full,Tai ngày 1 tháng 1 năm2016 (Trình bày lại –Thuyết minh 44) > Lợi nhuận trong năm(Trình bày lại –Thuyết minh 44),Vốn góp của chủ sở hữu VND > 6.412.811.860.000,Vốn khác của chủ sở hữu VND > 3.208.666.226,Cổ phiếu quỹ VND > (25.550.000.000),Chêch lệch tỷ giá hối doài VND > 14.239.683.180,Quỹ đầu tư phát triển VND > 1.100.003.125.251,Quỹ khác thuộc vốn chủ sở hữu VND > 6.108.534.627,Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 44) > 3.583.247.906.218 > 4.338.773.356.882(19.278.639.620),Lợi ích của Tổng Công ty VND > 11.094.069.775.502 > 4.338.773.356.882,Lợi ích cổ đông không kiểm soát VND > 995.617.570.458,Tổng cộng VND > 12.089.687.345.960 > 4.517.343.440.640,numeric__Vốn góp của chủ sở hữu VND > 6.412.811.860.000,numeric__Vốn khác của chủ sở hữu VND > 3.208.666.226,numeric__Cổ phiếu quỹ VND > (25.550.000.000),numeric__Chêch lệch tỷ giá hối doài VND > 14.239.683.180,numeric__Quỹ đầu tư phát triển VND > 1.100.003.125.251,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.108.534.627,numeric__Lợi nhuận sau thuế chưa phân phối VND(Trình bày lại – Thuyết minh 44) > 3.583.247.906.218 > 4.338.773.356.882(19.278.639.620),numeric__Lợi ích của Tổng Công ty VND > 11.094.069.775.502 > 4.338.773.356.882,numeric__Lợi ích cổ đông không kiểm soát VND > 995.617.570.458,numeric__Tổng cộng VND > 12.089.687.345.960 > 4.517.343.440.640
Tai ngày 31 tháng 12năm 2016 (Trình bàylại – Thuyết minh 44),Tai ngày 31 tháng 12năm 2016 (Trình bàylại – Thuyết minh 44),Tai ngày 31 tháng 12năm 2016 (Trình bàylại – Thuyết minh 44),6.412.811.860.000,3.208.666.226,(23.450.000.000),17.006.600.079,1.118.398.295.310,6.040.737.039,3.713.726.741.1374.711.485.204.581(1.252.987.330),11.247.742.899.7914.711.485.204.581,1.048.154.471.881237.114.047.283,12.295.897.371.6724.948.599.251.864,6412811860000.0,3208666226.0,-23450000000.0,17006600079.0,1118398295310.0,6040737039.0,,1.1247742899791472e+26,1.048154471881237e+24,1.2295897371672495e+26
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,,,,,,,,,,,,,,,,
Trích lập quỹ,Lợi nhuận trong năm > Trích lập quỹ,Trích lập quỹ,,,,,565.187.330,687.800.000,,,,,,,,,565187330.0,687800000.0,,,,
Bán cổ phiếu quỹ,Lợi nhuận trong năm > Bán cổ phiếu quỹ,Bán cổ phiếu quỹ,,,23.450.000.000,,,,,23.450.000.000,,23.450.000.000,,,23450000000.0,,,,,23450000000.0,,23450000000.0
Chêch lệch tỷ giá,Lợi nhuận trong năm > Chêch lệch tỷ giá,Chêch lệch tỷ giá,,,,2.107.171.896,,,,2.107.171.896,,2.107.171.896,,,,2107171896.0,,,,2107171896.0,,2107171896.0
Chia có tức(Thuyết minh 27),Lợi nhuận trong năm > Chia có tức(Thuyết minh 27),Chia có tức(Thuyết minh 27),,,,,,,(2.244.484.151.000),(2.244.484.151.000),(239.876.818.585),(2.484.360.969.585),,,,,,,-2244484151000.0,-2244484151000.0,-239876818585.0,-2484360969585.0
"Trích quỹ khen thưởng,phúc lợi (Thuyếtminh 23)","Lợi nhuận trong năm > Trích quỹ khen thưởng,phúc lợi (Thuyếtminh 23)","Trích quỹ khen thưởng,phúc lợi (Thuyếtminh 23)",,,,,,,(277.761.723.609),(277.761.723.609),(39.255.789.729),(317.017.513.338),,,,,,,-277761723609.0,-277761723609.0,-39255789729.0,-317017513338.0
"Điều chính quỹ khen thưởng, phúc lợi(Thuyết minh 23)","Lợi nhuận trong năm > Điều chính quỹ khen thưởng, phúc lợi(Thuyết minh 23)","Điều chính quỹ khen thưởng, phúc lợi(Thuyết minh 23)",,,,,,,(72.078.210.228),(72.078.210.228),(4.705.813.968),(76.784.024.196),,,,,,,-72078210228.0,-72078210228.0,-4705813968.0,-76784024196.0
Trích lập quỹ công tác xã hội,Lợi nhuận trong năm > Trích lập quỹ công tác xã hội,Trích lập quỹ công tác xã hội,,,,,,,(47.311.058.568),(47.311.058.568),,(47.311.058.568),,,,,,,-47311058568.0,-47311058568.0,,-47311058568.0
Điều chỉnh quỹ công tác xã hội,Lợi nhuận trong năm > Điều chỉnh quỹ công tác xã hội,Điều chỉnh quỹ công tác xã hội,,,,,,,(10.892.000.000),(10.892.000.000),,(10.892.000.000),,,,,,,-10892000000.0,-10892000000.0,,-10892000000.0
Tăng khác,Lợi nhuận trong năm > Tăng khác,Tăng khác,,,,,,(1.401.424.375),52.472.083.591,51.070.659.216,34.987.070.710,86.057.729.926,,,,,,-1401424375.0,52472083591.0,51070659216.0,34987070710.0,86057729926.0
Thay đổi tỷ lệ sở hữu của cổ đông thiểu số,Lợi nhuận trong năm > Thay đổi tỷ lệ sở hữu của cổ đông thiểu số,Thay đổi tỷ lệ sở hữu của cổ đông thiểu số,,,,,,,,,743.075.277,743.075.277,,,,,,,,,743075277.0,743075277.0
Tai ngày 31 tháng 12năm 2017,Lợi nhuận trong năm > Tai ngày 31 tháng 12năm 2017,Tai ngày 31 tháng 12năm 2017,6.412.811.860.000,3.208.666.226,,19.113.771.975,1.118.963.482.640,5.327.112.664,5.823.903.898.574,13.383.328.792.079,1.037.160.242.869,14.420.489.034.948,6412811860000.0,3208666226.0,,19113771975.0,1118963482640.0,5327112664.0,5823903898574.0,13383328792079.0,1037160242869.0,14420489034948.0
