row_label_raw,row_label_full,col_0,Thuyết minh,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44),numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 VND,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm > 2016 VND(Trình bày lại – Thuyết minh 44)
"22 Thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22 Thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác","22 Thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,14.863.280.117,40.502.081.658,,14863280117.0,40502081658.0
23 Tiền chi gửi ngân hàng có kỳ hạn trên 3 tháng,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23 Tiền chi gửi ngân hàng có kỳ hạn trên 3 tháng,23 Tiền chi gửi ngân hàng có kỳ hạn trên 3 tháng,,(7.278.046.709.349),(3.034.021.174.216),,-7278046709349.0,-3034021174216.0
"24 Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn trên 3 tháng","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24 Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn trên 3 tháng","24 Tiền thu hồi cho vay, tiền gửi ngân hàng có kỳ hạn trên 3 tháng",,3.893.566.652.296,809.466.940.162,,3893566652296.0,809466940162.0
25 Chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25 Chi đầu tư góp vốn vào đơn vị khác,25 Chi đầu tư góp vốn vào đơn vị khác,,(43.880.715.400),(27.824.678.187),,-43880715400.0,-27824678187.0
26 Thu hồi đầu tư góp vốn vào đơn vị khác,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 26 Thu hồi đầu tư góp vốn vào đơn vị khác,26 Thu hồi đầu tư góp vốn vào đơn vị khác,,66.048.265.300,581.149.667.139,,66048265300.0,581149667139.0
"27 Thu lãi tiền gửi và cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27 Thu lãi tiền gửi và cho vay, cổ tức và lợi nhuận được chia","27 Thu lãi tiền gửi và cho vay, cổ tức và lợi nhuận được chia",,678.088.897.966,783.616.859.474,,678088897966.0,783616859474.0
30 Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30 Lưu chuyển tiền thuần từ hoạt động đầu tư,30 Lưu chuyển tiền thuần từ hoạt động đầu tư,,(2.820.518.088.654),(1.003.457.258.526),,-2820518088654.0,-1003457258526.0
LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH,,,
31 Tiền thu từ tái phát hành cổ phiếu quỹ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 31 Tiền thu từ tái phát hành cổ phiếu quỹ,31 Tiền thu từ tái phát hành cổ phiếu quỹ,,67.207.854.357,5.820.025.630,,67207854357.0,5820025630.0
"33 Vay ngắn hạn, dài hạn nhận được","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 33 Vay ngắn hạn, dài hạn nhận được","33 Vay ngắn hạn, dài hạn nhận được",,3.541.517.218.824,3.880.680.269.651,,3541517218824.0,3880680269651.0
35 Chi trả nợ gốc vay,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 35 Chi trả nợ gốc vay,35 Chi trả nợ gốc vay,,(4.023.393.560.638),(4.336.074.219.633),,-4023393560638.0,-4336074219633.0
"36 Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 36 Cổ tức, lợi nhuận đã trả cho chủ sở hữu","36 Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(1.008.864.945.050),(3.757.483.070.376),,-1008864945050.0,-3757483070376.0
40 Lưu chuyển thuần từ hoạt động tài chính,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 40 Lưu chuyển thuần từ hoạt động tài chính,40 Lưu chuyển thuần từ hoạt động tài chính,,(1.423.533.432.507),(4.207.056.994.728),,-1423533432507.0,-4207056994728.0
50 Lưu chuyển tiền thuần trong năm,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 50 Lưu chuyển tiền thuần trong năm,50 Lưu chuyển tiền thuần trong năm,,823.767.787.748,(4.491.141.016.519),,823767787748.0,-4491141016519.0
60 Tiền và tương đương tiền đầu năm,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 60 Tiền và tương đương tiền đầu năm,60 Tiền và tương đương tiền đầu năm,3,3.444.825.444.503,7.935.974.303.078,3.0,3444825444503.0,7935974303078.0
61 Ánh hưởng của thay đổi tỷ giá hồi đoái quy đối ngoại tệ,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 61 Ánh hưởng của thay đổi tỷ giá hồi đoái quy đối ngoại tệ,61 Ánh hưởng của thay đổi tỷ giá hồi đoái quy đối ngoại tệ,,5.585.791,(7.842.056),,5585791.0,-7842056.0
70 Tiền và tương đương tiền cuối năm,LU'U CHUYEN TIEN TỪ HOẠT ĐỘNG TẠI CHÍNH > 70 Tiền và tương đương tiền cuối năm,70 Tiền và tương đương tiền cuối năm,3,4.268.598.818.042,3.444.825.444.503,3.0,4268598818042.0,3444825444503.0
