row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Công ty TNHH Một thành viên Xi măng Vicem Tam Điệp,Phải trả người bán ngắn hạn > Công ty TNHH Một thành viên Xi măng Vicem Tam Điệp,Công ty TNHH Một thành viên Xi măng Vicem Tam Điệp,Đơn vị thành viên trong cùng Tổng Công ty,Mua clinker,-,(6.526.414.786),,,,-6526414786.0
Công ty Cổ phần Vicem Bao bì Bút Sơn,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Bao bì Bút Sơn,Công ty Cổ phần Vicem Bao bì Bút Sơn,Đơn vị thành viên trong cùng Tổng Công ty,Phí gia công,-,(1.786.400.000),,,,-1786400000.0
Nhà Máy Vật liệu Chịu lửa Kiểm tính Việt Nam,Phải trả người bán ngắn hạn > Nhà Máy Vật liệu Chịu lửa Kiểm tính Việt Nam,Nhà Máy Vật liệu Chịu lửa Kiểm tính Việt Nam,Đơn vị thành viên trong cùng Tổng Công ty,Mua vỏ bao,-,(1.112.739.195),,,,-1112739195.0
Công ty Cổ phần Xi măng Vicem Hải Vân,Phải trả người bán ngắn hạn > Công ty Cổ phần Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,Đơn vị thành viên trong cùng Tổng Công ty,Mua gạch,-,(77.696.850),,,,-77696850.0
,,,,Mua clinker,-,(554.002),,,,-554002.0
,,,,,(212.378.724.364),(210.471.347.810),,,-212378724364.0,-210471347810.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Tổng Công ty Công nghiệp Xi măng Việt Nam,Chi phí phải trả ngắn hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Chi phí lãi vay,-,(619.954.051),,,,-619954051.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Tổng Công ty Công nghiệp Xi măng Việt Nam,Vay dài hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Vay dài hạn,-,(17.568.573.607),,,,-17568573607.0
