row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2020 Nghìn VND,2019 Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__2020 Nghìn VND,numeric__2019 Nghìn VND
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(573.206.231),773.365.144,11.0,,-573206231.0,773365144.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,(209.068.012),4.220.162,12.0,,-209068012.0,4220162.0
,,,,,438.935.078,2.598.561.342,,,438935078.0,2598561342.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(1.248.770.678),(1.127.738.800),14.0,,-1248770678.0,-1127738800.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(154.592.206),(39.142.971),15.0,,-154592206.0,-39142971.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(964.427.806),1.431.679.571,20.0,,-964427806.0,1431679571.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,,(1.474.237.254),(888.223.637),21.0,,-1474237254.0,-888223637.0
Bồi thường do quyết toán tài sản cố định đã xây dựng trước đây,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Bồi thường do quyết toán tài sản cố định đã xây dựng trước đây,Bồi thường do quyết toán tài sản cố định đã xây dựng trước đây,21,,-,984.161.905,21.0,,,984161905.0
Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,Tiền thu từ thanh lý tài sản cố định và tài sản dài hạn khác,22,,12.765.546,977.273,22.0,,12765546.0,977273.0
Gửi tiền gửi có kỳ hạn và tiền chi cho vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Gửi tiền gửi có kỳ hạn và tiền chi cho vay,Gửi tiền gửi có kỳ hạn và tiền chi cho vay,23,,(1.931.153.425),(1.000.000.000),23.0,,-1931153425.0,-1000000000.0
Thu hồi tiền gửi có kỳ hạn và tiền thu hồi cho vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Thu hồi tiền gửi có kỳ hạn và tiền thu hồi cho vay,Thu hồi tiền gửi có kỳ hạn và tiền thu hồi cho vay,24,,1.787.321.421,-,24.0,,1787321421.0,
Tiền chi mua lại phần vốn góp của cổ đông không kiểm soát,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua lại phần vốn góp của cổ đông không kiểm soát,Tiền chi mua lại phần vốn góp của cổ đông không kiểm soát,25,,-,(8.525.794),25.0,,,-8525794.0
