row_label_raw,row_label_full,col_0,Số dư,Số dư_1,numeric__Số dư,numeric__Số dư_1
"Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")","Sài Gòn - Hà Nội (""SHB FC"")",,
▪ Góp vốn,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Góp vốn",▪ Góp vốn,1.000.000,1.000.000,1000000.0,1000000.0
▪ Nhận tiền gửi không kỳ hạn và có kỳ hạn,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Nhận tiền gửi không kỳ hạn và có kỳ hạn",▪ Nhận tiền gửi không kỳ hạn và có kỳ hạn,(29.207),(362.898),-29207.0,-362898.0
▪ Cho vay,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Cho vay",▪ Cho vay,124.000,-,124000.0,
▪ Lãi dự thu cho vay,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Lãi dự thu cho vay",▪ Lãi dự thu cho vay,707,-,707.0,
▪ Lãi dự trả đầu tư kỳ phiếu và tiền gửi,"Sài Gòn - Hà Nội (""SHB FC"") > ▪ Lãi dự trả đầu tư kỳ phiếu và tiền gửi",▪ Lãi dự trả đầu tư kỳ phiếu và tiền gửi,-,(1.072),,-1072.0
Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,Cổ đông lớn,,
Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,Công ty Cổ phần Tập đoàn T&T,,
▪ Nhận góp vốn,Công ty Cổ phần Tập đoàn T&T > ▪ Nhận góp vốn,▪ Nhận góp vốn,(1.750.461),(1.199.768),-1750461.0,-1199768.0
▪ Nhận tiền gửi không kỳ hạn,Công ty Cổ phần Tập đoàn T&T > ▪ Nhận tiền gửi không kỳ hạn,▪ Nhận tiền gửi không kỳ hạn,(390.657),(111.859),-390657.0,-111859.0
▪ Lãi dự trả tiền gửi,Công ty Cổ phần Tập đoàn T&T > ▪ Lãi dự trả tiền gửi,▪ Lãi dự trả tiền gửi,(530),(518),-530.0,-518.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,
Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội,,
▪ Góp vốn,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Góp vốn,▪ Góp vốn,42.857,42.857,42857.0,42857.0
▪ Nhận tiền gửi không kỳ hạn,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Nhận tiền gửi không kỳ hạn,▪ Nhận tiền gửi không kỳ hạn,(527.948),(208.901),-527948.0,-208901.0
▪ Lãi dự trả tiền gửi,Tổng Công ty Cổ phần bảo hiểm Sài Gòn - Hà Nội > ▪ Lãi dự trả tiền gửi,▪ Lãi dự trả tiền gửi,(15.867),(3.814),-15867.0,-3814.0
