row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 01/01/2024VND,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số phải nộptrong nămVND,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số đã thực nộp/khẩu trừ trong nămVND,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 31/12/2024VND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 01/01/2024VND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số phải nộptrong nămVND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > Số đã thực nộp/khẩu trừ trong nămVND,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (TIẾP)(Các thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất) > 31/12/2024VND
- Lệ phí môn bài,Thuế và các khoản phải nộp > - Lệ phí môn bài,- Lệ phí môn bài,-,11.000.000,11.000.000,-,,11000000.0,11000000.0,
- Phí cấp quyền khai thác tài nguyên nước,Thuế và các khoản phải nộp > - Phí cấp quyền khai thác tài nguyên nước,- Phí cấp quyền khai thác tài nguyên nước,-,16.952.706.343,16.952.706.343,-,,16952706343.0,16952706343.0,
"- Phí, lệ phí và các khoản phải nộp khác","Thuế và các khoản phải nộp > - Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",29.952.082.649,23.923.037.958,8.434.735.506,45.442.678.758,29952082649.0,23923037958.0,8434735506.0,45442678758.0
Cộng,Thuế và các khoản phải nộp > Cộng,Cộng,253.442.595.101,586.088.222.395,600.047.366.822,239.483.450.674,253442595101.0,586088222395.0,600047366822.0,239483450674.0
,,,01/01/2024VND,Số phải nộptrong nămVND,Số đã thực nộp/khẩu trừ trong nămVND,31/12/2024VND,,,,
Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,Thuế và các khoản phải thu,,,,
- Thuế giá trị gia tăng,Thuế và các khoản phải thu > - Thuế giá trị gia tăng,- Thuế giá trị gia tăng,18.795.298.043,-,5.190.205.256,23.985.503.299,18795298043.0,,5190205256.0,23985503299.0
- Thuế thu nhập doanh nghiệp,Thuế và các khoản phải thu > - Thuế thu nhập doanh nghiệp,- Thuế thu nhập doanh nghiệp,17.431.918.577,17.022.044.510,45.000,409.919.067,17431918577.0,17022044510.0,45000.0,409919067.0
- Thuế thu nhập cá nhân,Thuế và các khoản phải thu > - Thuế thu nhập cá nhân,- Thuế thu nhập cá nhân,173.112.928,226.861.092,1.826.691,75.705.487,173112928.0,226861092.0,1826691.0,75705487.0
- Thuế tài nguyên,Thuế và các khoản phải thu > - Thuế tài nguyên,- Thuế tài nguyên,-,(77.276.960),580.270.367,657.547.327,,-77276960.0,580270367.0,657547327.0
"- Phí, lệ phí và các khoản phải nộp khác","Thuế và các khoản phải thu > - Phí, lệ phí và các khoản phải nộp khác","- Phí, lệ phí và các khoản phải nộp khác",13.853.691,-,-,13.853.691,13853691.0,,,13853691.0
Cộng,Thuế và các khoản phải thu > Cộng,Cộng,36.414.183.239,17.171.628.642,5.772.347.314,25.142.528.871,36414183239.0,17171628642.0,5772347314.0,25142528871.0
