row_label_raw,row_label_full,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất),T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_4,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_1,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_2,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_3,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT (TIẾP)ết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất)_4
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,,,262.907.865.715,,,,262907865715.0
Thu nhập khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Thu nhập khác,Thu nhập khác,,,,37.752.357.338,,,,37752357338.0
Chi phí khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí khác,Chi phí khác,,,,(54.979.554.086),,,,-54979554086.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,(124.922.253.421),,,,-124922253421.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,(54.375.443.272),,,,-54375443272.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,515.169.310.295,,,,515169310295.0
Tài sản không phân bổ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tài sản không phân bổ,Tài sản không phân bổ,,,,22.725.714.842.507,,,,22725714842507.0
Nợ phải trả không phân bổ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,13.696.271.585.686,,,,13696271585686.0
Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau:,,,,
,,,,,Năm 2024VND,Năm 2023VND,,,,
Trong nước,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau: > Trong nước,Trong nước,,,3.753.052.277.407,4.308.224.012.656,,,3753052277407.0,4308224012656.0
Ngoài nước,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau: > Ngoài nước,Ngoài nước,,,1.778.376.097.950,1.275.377.225.650,,,1778376097950.0,1275377225650.0
Cộng,Chi tiết doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài theo khu vực địa lý dựa trên vị trí của khách hàng như sau: > Cộng,Cộng,,,5.531.428.375.357,5.583.601.238.306,,,5531428375357.0,5583601238306.0
