row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2023,Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2023,Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2023,Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2023,Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Trên3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Quá hạn > Đến3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Đến1 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Từ trên1 tháng đến3 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Từ trên 3tháng đến12 tháng > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Từ trên1 năm đến5 năm > Tại ngày 31 tháng 12 năm 2023,numeric__Trong hạn > Trên5 năm > Tại ngày 31 tháng 12 năm 2023,numeric__Đơn vị: Triệu VND > Tổng cộng > Tại ngày 31 tháng 12 năm 2023
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),177.897,102,10.572.423,-,-,-,-,10.750.422,177897.0,102.0,10572423.0,,,,,10750422.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.050.794,3.931.766,174.021.537,98.794.581,241.727.897,33.355.028,167.838.505,724.720.108,5050794.0,3931766.0,174021537.0,98794581.0,241727897.0,33355028.0,167838505.0,724720108.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,88,-,-,-,-,88,,,88.0,,,,,88.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,74.738.653,11.332.351,3.434.735,923,-,89.506.662,,,74738653.0,11332351.0,3434735.0,923.0,,89506662.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,244.151.446,104.021.611,130.177.495,4.348.271,3.908,482.702.731,,,244151446.0,104021611.0,130177495.0,4348271.0,3908.0,482702731.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,117.126,-,-,-,-,117.126,,,117126.0,,,,,117126.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,3.531,9.325,23.173,5.505,41.534,,,,3531.0,9325.0,23173.0,5505.0,41534.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,900.000,4.599.994,25.597.117,21.082.907,229.996,52.410.014,,,900000.0,4599994.0,25597117.0,21082907.0,229996.0,52410014.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,22.266.956,134.900,658.617,-,-,23.060.473,,,22266956.0,134900.0,658617.0,,,23060473.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,342.174.269,120.092.387,159.877.289,25.455.274,239.409,647.838.628,,,342174269.0,120092387.0,159877289.0,25455274.0,239409.0,647838628.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,5.050.794,3.931.766,(168.152.732),(21.297.806),81.850.608,7.899.754,167.599.096,76.881.480,5050794.0,3931766.0,-168152732.0,-21297806.0,81850608.0,7899754.0,167599096.0,76881480.0
