row_label_raw,row_label_full,STT,Tên đơn vị,Giá trị (VND),Dự phòng (VND),Tỷ lệ vốn góp thực tế,Tỷ lệ biểu quyết,Giá trị (VND)_1,Dự phòng (VND)_1,Tỷ lệ vốn góp thực tế_1,Tỷ lệ biểu quyết_1,numeric__Tên đơn vị,numeric__Giá trị (VND),numeric__Dự phòng (VND),numeric__Tỷ lệ vốn góp thực tế,numeric__Tỷ lệ biểu quyết,numeric__Giá trị (VND)_1,numeric__Dự phòng (VND)_1,numeric__Tỷ lệ vốn góp thực tế_1,numeric__Tỷ lệ biểu quyết_1
11,11,11,Công ty Cổ phần Dabaco Quảng Ninh (*),85.000.000.000,-,85%,100%,99.000.000.000,-,99%,99%,,85000000000.0,,0.85,1.0,99000000000.0,,0.99,0.99
12,12,12,Công ty TNHH Giavico Việt Nam,83.000.000.000,-,"98,82%","98,82%",-,-,0%,0%,,83000000000.0,,0.9882,0.9882,,,0.0,0.0
13,13,13,Công ty Cổ phần Thỉnh Phát Kim Sơn 1,74.950.200.000,-,"99,94%","99,94%",-,-,0%,0%,,74950200000.0,,0.9994,0.9994,,,0.0,0.0
14,14,14,Công ty TNHH MTV Thương mại Hiệp Quang,71.283.160.000,-,100%,100%,71.283.160.000,-,100%,100%,,71283160000.0,,1.0,1.0,71283160000.0,,1.0,1.0
15,15,15,Công ty TNHH Dabaco Bình Phước,51.498.269.770,(51.498.269.770),100%,100%,51.498.269.770,(51.498.269.770),100%,100%,,51498269770.0,-51498269770.0,1.0,1.0,51498269770.0,-51498269770.0,1.0,1.0
16,16,16,Công ty TNHH Nutreco,50.190.568.966,-,100%,100%,50.190.568.966,-,100%,100%,,50190568966.0,,1.0,1.0,50190568966.0,,1.0,1.0
17,17,17,Công ty TNHH Lợn giống Dabaco Lương Tài,50.000.000.000,(50.000.000.000),100%,100%,50.000.000.000,(50.000.000.000),100%,100%,,50000000000.0,-50000000000.0,1.0,1.0,50000000000.0,-50000000000.0,1.0,1.0
18,18,18,Công ty TNHH Lợn giống Dabaco Phú Thọ,50.000.000.000,-,100%,100%,50.000.000.000,(47.158.628.253),100%,100%,,50000000000.0,,1.0,1.0,50000000000.0,-47158628253.0,1.0,1.0
19,19,19,Công ty TNHH Dabaco Tuyên Quang,50.000.000.000,-,100%,100%,50.000.000.000,(48.804.989.601),100%,100%,,50000000000.0,,1.0,1.0,50000000000.0,-48804989601.0,1.0,1.0
20,20,20,Công ty TNHH Dược và Thủ y Dacovet,50.000.000.000,-,100%,100%,50.000.000.000,-,100%,100%,,50000000000.0,,1.0,1.0,50000000000.0,,1.0,1.0
21,21,21,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,45.678.384.595,(27.367.789.102),100%,100%,45.678.384.595,(45.678.384.595),100%,100%,,45678384595.0,-27367789102.0,1.0,1.0,45678384595.0,-45678384595.0,1.0,1.0
22,22,22,Công ty TNHH Lợn giống Dabaco Hà Nam,40.000.000.000,(40.000.000.000),100%,100%,40.000.000.000,(40.000.000.000),100%,100%,,40000000000.0,-40000000000.0,1.0,1.0,40000000000.0,-40000000000.0,1.0,1.0
23,23,23,Công ty TNHH Phân bón hữu cơ Việt Nhật,35.044.615.898,-,100%,100%,35.044.615.898,-,100%,100%,,35044615898.0,,1.0,1.0,35044615898.0,,1.0,1.0
24,24,24,Công ty TNHH Lợn giống Dabaco Hải Phòng,35.000.000.000,(21.709.203.278),100%,100%,35.000.000.000,(35.000.000.000),100%,100%,,35000000000.0,-21709203278.0,1.0,1.0,35000000000.0,-35000000000.0,1.0,1.0
25,25,25,Công ty TNHH MTV Lợn giống Lạc Vệ,30.551.441.897,-,100%,100%,30.551.441.897,-,100%,100%,,30551441897.0,,1.0,1.0,30551441897.0,,1.0,1.0
26,26,26,Công ty TNHH Đầu tư Phát triển Chăn nuôi Lợn Dabaco,30.000.000.000,(30.000.000.000),100%,100%,30.000.000.000,(30.000.000.000),100%,100%,,30000000000.0,-30000000000.0,1.0,1.0,30000000000.0,-30000000000.0,1.0,1.0
27,27,27,Công ty TNHH Căng & Logistics Tân Chi,30.000.000.000,-,100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,,1.0,1.0,30000000000.0,,1.0,1.0
28,28,28,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,30.000.000.000,(8.861.571.377),100%,100%,30.000.000.000,(7.553.759.286),100%,100%,,30000000000.0,-8861571377.0,1.0,1.0,30000000000.0,-7553759286.0,1.0,1.0
29,29,29,Công ty TNHH MTV Gà giống Dabaco,10.000.000.000,(10.000.000.000),100%,100%,10.000.000.000,(10.000.000.000),100%,100%,,10000000000.0,-10000000000.0,1.0,1.0,10000000000.0,-10000000000.0,1.0,1.0
30,30,30,Công ty TNHH Đầu tư và Phát triển Cum Công nghiệp Khúc Xuyên,5.000.000.000,-,100%,100%,-,-,100%,100%,,5000000000.0,,1.0,1.0,,,1.0,1.0
,,,TỔNG CỘNG,3.395.124.603.070,(308.427.689.939),,,1.817.574.403.070,(445.445.619.520),,,,3395124603070.0,-308427689939.0,,,1817574403070.0,-445445619520.0,,
