row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Bán hàng,Mua nguyên vát liệu và dịch vụ,Phân bố chi phí sử dụng tài sản,Lãi vay phân bố,Vay,Cho vay dài hạn,"Góp vốn, mua cổ phần",Lợi nhuận/Cổ tức được chia,numeric__Môi quan hệ,numeric__Bán hàng,numeric__Mua nguyên vát liệu và dịch vụ,numeric__Phân bố chi phí sử dụng tài sản,numeric__Lãi vay phân bố,numeric__Vay,numeric__Cho vay dài hạn,"numeric__Góp vốn, mua cổ phần",numeric__Lợi nhuận/Cổ tức được chia
Công ty TNHH Lon giống Dabaco Luong Tài,Công ty TNHH Lon giống Dabaco Luong Tài,Công ty TNHH Lon giống Dabaco Luong Tài,Công ty con,128.458.368.700,-,3.766.653.070,-,-,-,-,-,,128458368700.0,,3766653070.0,,,,,
Công ty TNHH Du lịch & Khách san Le Indochina,Công ty TNHH Du lịch & Khách san Le Indochina,Công ty TNHH Du lịch & Khách san Le Indochina,Công ty con,-,-,4.526.046.249,-,290.000.000.000,-,290.000.000.000,-,,,,4526046249.0,,290000000000.0,,290000000000.0,
Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty con,743.211.557.625,-,5.051.750.448,-,-,-,-,19.911.927.878,,743211557625.0,,5051750448.0,,,,,19911927878.0
Công ty TNHH Lon giống Dabaco Phú Thọ,Công ty TNHH Lon giống Dabaco Phú Thọ,Công ty TNHH Lon giống Dabaco Phú Thọ,Công ty con,257.903.561.000,-,39.805.025.356,4.425.431.633,-,-,-,-,,257903561000.0,,39805025356.0,4425431633.0,,,,
Công ty TNHH Lon giống Dabaco Hải Phòng,Công ty TNHH Lon giống Dabaco Hải Phòng,Công ty TNHH Lon giống Dabaco Hải Phòng,Công ty con,102.298.634.500,-,424.284.831,-,-,-,-,-,,102298634500.0,,424284831.0,,,,,
Công ty TNHH Phán bón Hữu cơ Việt Nhật,Công ty TNHH Phán bón Hữu cơ Việt Nhật,Công ty TNHH Phán bón Hữu cơ Việt Nhật,Công ty con,-,-,2.914.574.592,-,-,-,-,2.104.130.571,,,,2914574592.0,,,,,2104130571.0
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,321.164.782.800,-,1.259.291.592,444.256.150,-,-,-,-,,321164782800.0,,1259291592.0,444256150.0,,,,
Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty TNHH Đầu thực vật Dabaco,Công ty con,819.978.603.450,1.018.756.524.073,6.780.041.800,68.862.981,-,670.168.271.000,-,40.787.001.271,,819978603450.0,1018756524073.0,6780041800.0,68862981.0,,670168271000.0,,40787001271.0
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,4.836.063.440,-,2.973.303.688,278.640.792,-,-,-,-,,4836063440.0,,2973303688.0,278640792.0,,,,
Công ty TNHH Đầu tư và Phát triển Cum Công nghiệp Khúc Xuyên,Công ty TNHH Đầu tư và Phát triển Cum Công nghiệp Khúc Xuyên,Công ty TNHH Đầu tư và Phát triển Cum Công nghiệp Khúc Xuyên,Công ty con,-,-,-,-,5.000.000.000,-,5.000.000.000,139.473.672,,,,,,5000000000.0,,5000000000.0,139473672.0
Công ty TNHH Xây dựng Dương H2 Thành phố Bắc Ninh,Công ty TNHH Xây dựng Dương H2 Thành phố Bắc Ninh,Công ty TNHH Xây dựng Dương H2 Thành phố Bắc Ninh,Công ty con,-,-,-,-,179.000.000.000,-,179.000.000.000,-,,,,,,179000000000.0,,179000000000.0,
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,637.774.000.640,-,71.255.897.451,25.712.353.441,-,-,-,212.940.274.776,,637774000640.0,,71255897451.0,25712353441.0,,,,212940274776.0
Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,-,-,-,-,-,-,1.000.000.000,-,,,,,,,,1000000000.0,
Công ty TNHH TACN Bình Phước,Công ty TNHH TACN Bình Phước,Công ty TNHH TACN Bình Phước,Công ty con,33.192.123.809,-,-,409.742.291,-,-,-,-,,33192123809.0,,,409742291.0,,,,
Công ty TNHH Dược và Thủ y Dacovet,Công ty TNHH Dược và Thủ y Dacovet,Công ty TNHH Dược và Thủ y Dacovet,Công ty con,-,-,-,-,-,-,-,-,,,,,,,,,
Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,Công ty TNHH Dược và Thủ y Dacovet > Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,Công ty TNHH Xây dựng Hồ điều hòa Văn Miêu Bắc Ninh,Công ty con,-,-,-,-,239.600.000.000,-,239.600.000.000,-,,,,,,239600000000.0,,239600000000.0,
Công ty CP Thịnh Phát Kim Sơn 1,Công ty TNHH Dược và Thủ y Dacovet > Công ty CP Thịnh Phát Kim Sơn 1,Công ty CP Thịnh Phát Kim Sơn 1,Công ty con,-,-,-,-,25.000.000.000,-,74.950.200.000,-,,,,,,25000000000.0,,74950200000.0,
Công ty TNHH DABACO Quảng Trị,Công ty TNHH Dược và Thủ y Dacovet > Công ty TNHH DABACO Quảng Trị,Công ty TNHH DABACO Quảng Trị,Công ty con,-,-,-,-,190.000.000.000,-,190.000.000.000,-,,,,,,190000000000.0,,190000000000.0,
Công ty CP Giavico Việt Nam,Công ty TNHH Dược và Thủ y Dacovet > Công ty CP Giavico Việt Nam,Công ty CP Giavico Việt Nam,Công ty con,-,-,-,-,84.000.000.000,-,83.000.000.000,-,,,,,,84000000000.0,,83000000000.0,
Công ty Lam Sơn Như Xuân,Công ty TNHH Dược và Thủ y Dacovet > Công ty Lam Sơn Như Xuân,Công ty Lam Sơn Như Xuân,Công ty con,-,-,-,-,-,-,98.000.000.000,-,,,,,,,,98000000000.0,
Công ty Cổ phần Transeco,Công ty TNHH Dược và Thủ y Dacovet > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,51.054.179.900,-,-,60.000.000.000,-,20.000.000.000,2.000.000.000,,,51054179900.0,,,60000000000.0,,20000000000.0,2000000000.0
TỔNG CÔNG,Công ty TNHH Dược và Thủ y Dacovet > TỔNG CÔNG,TỔNG CÔNG,,5.928.653.538.950,1.214.129.712.054,212.783.029.339,32.264.365.341,1.504.600.000.000,670.168.271.000,1.612.550.200.000,403.341.192.312,,5928653538950.0,1214129712054.0,212783029339.0,32264365341.0,1504600000000.0,670168271000.0,1612550200000.0,403341192312.0
