row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị, dụng cụquản lý",Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính: VNDTổng cộng
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,152.435.136.005,374.140.246.248,246.316.334.566,11.845.485.787,784.737.202.606,152435136005.0,374140246248.0,246316334566.0,11845485787.0,784737202606.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số dư đầu năm (Trình bày lại),Giá trị khấu hao lũy kế: > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),274.294.721.823,566.835.760.864,66.705.819.600,18.993.132.199,926.829.434.486,274294721823.0,566835760864.0,66705819600.0,18993132199.0,926829434486.0
- Khẩu hao trong năm,Giá trị khấu hao lũy kế: > - Khẩu hao trong năm,- Khẩu hao trong năm,65.005.248.470,123.271.860.574,65.755.602.182,7.226.542.732,261.259.253.958,65005248470.0,123271860574.0,65755602182.0,7226542732.0,261259253958.0
- Tăng do hợp nhất kinh doanh,Giá trị khấu hao lũy kế: > - Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,271.966.364.128,260.865.673.664,481.285.107.842,5.549.201.295,1.019.666.346.929,271966364128.0,260865673664.0,481285107842.0,5549201295.0,1019666346929.0
- Tăng/(giảm) do phân loại lại,Giá trị khấu hao lũy kế: > - Tăng/(giảm) do phân loại lại,- Tăng/(giảm) do phân loại lại,53.563.080,69.194.268,(122.757.348),-,-,53563080.0,69194268.0,-122757348.0,,
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(535.920.976),(7.383.730.964),(8.984.603.943),(491.436.843),(17.395.692.726),-535920976.0,-7383730964.0,-8984603943.0,-491436843.0,-17395692726.0
- Phân loại sang bất động sản đầu tư(Thuyết minn số 14),Giá trị khấu hao lũy kế: > - Phân loại sang bất động sản đầu tư(Thuyết minn số 14),- Phân loại sang bất động sản đầu tư(Thuyết minn số 14),(3.892.744.418),(1.103.340.795),-,(7.293.661.875),(12.289.747.088),-3892744418.0,-1103340795.0,,-7293661875.0,-12289747088.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,-,-,(1.907.980),(360.275),(2.268.255),,,-1907980.0,-360275.0,-2268255.0
Số dư cuối năm,Giá trị khấu hao lũy kế: > Số dư cuối năm,Số dư cuối năm,606.891.232.107,942.555.417.611,604.637.260.353,23.983.417.233,2.178.067.327.304,606891232107.0,942555417611.0,604637260353.0,23983417233.0,2178067327304.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số dư đầu năm (Trình bày lại),Giá trị còn lại: > Số dư đầu năm (Trình bày lại),Số dư đầu năm (Trình bày lại),379.652.430.545,429.815.786.481,57.620.317.478,51.923.458.084,919.011.992.588,379652430545.0,429815786481.0,57620317478.0,51923458084.0,919011992588.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,1.543.041.293.721,1.031.995.385.383,283.171.505.483,22.705.415.919,2.880.913.600.506,1543041293721.0,1031995385383.0,283171505483.0,22705415919.0,2880913600506.0
