row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Sản xuất và kinh doanh thiết bị điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Cung cấp dịch vụ vận tải và kho vận > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Kinh doanh điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Khác > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Loại trừ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Sản xuất và kinh doanh thiết bị điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Cung cấp dịch vụ vận tải và kho vận > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Kinh doanh điện > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Khác > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Loại trừ > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày,numeric__Đơn vị tính: VND Tổng cộng > Tại ngày 31 tháng 12 năm 2017 và cho năm tài chính kết thúc cùng ngày
Tài sản không phân bổ (*),Tài sản và công nợ > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,-,-,7.095.032.908.667,,,,,,7095032908667.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,13.909.675.252.433,,,,,,13909675252433.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,3.793.987.684.120,361.836.424.879,1.059.225.460.971,65.235.152.331,-,5.280.284.722.301,3793987684120.0,361836424879.0,1059225460971.0,65235152331.0,,5280284722301.0
Công nợ không phân bổ (*),Tài sản và công nợ > Công nợ không phân bổ (*),Công nợ không phân bổ (*),-,-,-,-,-,2.323.702.791.756,,,,,,2323702791756.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,,,,,,7.603.987.514.057,,,,,,7603987514057.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Chi phí hình thành tài sản cố định (**),Các thông tin bộ phận khác > Chi phí hình thành tài sản cố định (**),Chi phí hình thành tài sản cố định (**),292.657.356.585,212.268.981.740,15.133.383.708,345.033.767,-,520.404.755.800,292657356585.0,212268981740.0,15133383708.0,345033767.0,,520404755800.0
Tài sản cố định hữu hình,Các thông tin bộ phận khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,289.745.154.393,211.765.281.740,15.133.383.708,345.033.767,-,516.988.853.608,289745154393.0,211765281740.0,15133383708.0,345033767.0,,516988853608.0
Tài sản cố định vô hình,Các thông tin bộ phận khác > Tài sản cố định vô hình,Tài sản cố định vô hình,2.912.202.192,503.700.000,-,-,-,3.415.902.192,2912202192.0,503700000.0,,,,3415902192.0
Khẩu hao,Các thông tin bộ phận khác > Khẩu hao,Khẩu hao,126.846.907.489,70.507.132.989,51.595.429.882,19.190.463.598,-,268.139.933.958,126846907489.0,70507132989.0,51595429882.0,19190463598.0,,268139933958.0
Hao mòn,Các thông tin bộ phận khác > Hao mòn,Hao mòn,2.014.538.921,211.784.328,-,-,-,2.226.323.249,2014538921.0,211784328.0,,,,2226323249.0
