row_label_raw,row_label_full,Năm trước > Chỉ tiêu,Năm trước > Dịch vụ vận tải,Năm trước > Dịch vụ kho nổi,Năm trước > Thương mại,Năm trước > Dịch vụ khác,Năm trước > Tổng,numeric__Năm trước > Dịch vụ vận tải,numeric__Năm trước > Dịch vụ kho nổi,numeric__Năm trước > Thương mại,numeric__Năm trước > Dịch vụ khác,numeric__Năm trước > Tổng
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,442.354.660.924,,,,,442354660924.0
Doanh thu hoạt động tài chính,Kết quả hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,233.638.246.239,,,,,233638246239.0
Lợi nhuận khác,Kết quả hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,(25.700.372.157),,,,,-25700372157.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,(50.270.028.523),,,,,-50270028523.0
Lợi nhuận trước thuế,Kết quả hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,600.022.506.483,,,,,600022506483.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(102.288.806.238),,,,,-102288806238.0
Thuế thu nhập doanh nghiệp hoãn lại,Kết quả hoạt động kinh doanh > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,5.056.297.941,,,,,5056297941.0
Lợi nhuận trong năm,Kết quả hoạt động kinh doanh > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,502.789.998.186,,,,,502789998186.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khẩu hao,Thông tin khác > Khẩu hao,Khẩu hao,,,,,202.569.100.133,,,,,202569100133.0
Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,Bộ phận theo khu vực địa lý,,,,,
"Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.","Hoạt động chính của Tổng Công ty là cung cấp dịch vụ vận tải dầu thô, đầu sản phẩm và dịch vụ cho thuê kho nổi chứa đầu trong lãnh thổ Việt Nam. Theo đó, Ban Tổng Giám đốc đã đánh giá và tin tưởng rằng việc không lập và trình bày báo cáo tài chính bộ phận theo khu vực địa lý trong báo cáo tài chính riêng của Tổng Công ty cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 là phù hợp với quy định tại Chuẩn mực kế toán Việt Nam số 28 “Báo cáo bộ phận” và phù hợp với tỉnh hình kinh doanh hiện nay của Tổng Công ty.",,,,,
