row_label_raw,row_label_full,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
"1. Các khoản lãi, phí phải trả","B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 1. Các khoản lãi, phí phải trả","1. Các khoản lãi, phí phải trả",,1.395.697.594.118,1.617.346.167.552,,1395697594118.0,1617346167552.0
2. Các khoản phải trả và công nợ khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 2. Các khoản phải trả và công nợ khác,2. Các khoản phải trả và công nợ khác,,750.926.476.632,720.236.205.205,,750926476632.0,720236205205.0
TỔNG NỘ PHẢI TRẢ,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,130.330.504.529.167,110.975.359.140.135,,130330504529167.0,110975359140135.0
VIII. Vốn chủ sở hữu,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VIII. Vốn chủ sở hữu,VIII. Vốn chủ sở hữu,4.16,10.155.027.138.318,8.856.677.552.392,416.0,10155027138318.0,8856677552392.0
1. Vốn của TCTD,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 1. Vốn của TCTD,1. Vốn của TCTD,,8.163.718.790.351,5.399.712.500.351,,8163718790351.0,5399712500351.0
a. Vốn điều lệ,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > a. Vốn điều lệ,a. Vốn điều lệ,,8.163.606.720.000,5.399.600.430.000,,8163606720000.0,5399600430000.0
b. Thặng dư vốn cổ phần,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > b. Thặng dư vốn cổ phần,b. Thặng dư vốn cổ phần,,98.600.000,98.600.000,,98600000.0,98600000.0
c. Vốn khác,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > c. Vốn khác,c. Vốn khác,,13.470.351,13.470.351,,13470351.0,13470351.0
2. Quỹ của TCTD,B. NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > 2. Quỹ của TCTD,2. Quỹ của TCTD,,893.233.968.141,620.146.137.521,,893233968141.0,620146137521.0
3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,3. Chênh lệch tỷ giá hối đoái,,-,-,,,
4. Lợi nhuận chưa phân phối/Lỗ lũy kế,3. Chênh lệch tỷ giá hối đoái > 4. Lợi nhuận chưa phân phối/Lỗ lũy kế,4. Lợi nhuận chưa phân phối/Lỗ lũy kế,,1.098.074.379.826,2.836.818.914.520,,1098074379826.0,2836818914520.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,3. Chênh lệch tỷ giá hối đoái > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,140.485.531.667.485,119.832.036.692.527,,140485531667485.0,119832036692527.0
