row_label_raw,row_label_full,col_0,Vốn góp VND,Thặng dư vốn cổ phần VND,Vốn khác VND,Chênh lệch đánh giá lại tài sản VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tải chính VND,Quỹ hỗ trợ sắp xếp doanh nghiệp VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Nguồn vốn đầu tư xây dựng cơ bản VND,Cổ đông không kiểm soát VND,Tổng cộng vốn chủ sở hữu VND,Nguồn kinh phí sự nghiệp VND,Tổng VND,numeric__Vốn góp VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác VND,numeric__Chênh lệch đánh giá lại tài sản VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tải chính VND,numeric__Quỹ hỗ trợ sắp xếp doanh nghiệp VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Nguồn vốn đầu tư xây dựng cơ bản VND,numeric__Cổ đông không kiểm soát VND,numeric__Tổng cộng vốn chủ sở hữu VND,numeric__Nguồn kinh phí sự nghiệp VND,numeric__Tổng VND
"Chuyển sang các khoản phải trả, phải nộp ngân han khác - đã điều chỉnh lại","Cổ tức > Chuyển sang các khoản phải trả, phải nộp ngân han khác - đã điều chỉnh lại","Chuyển sang các khoản phải trả, phải nộp ngân han khác - đã điều chỉnh lại",10.639.972.950,,,,(349.762.123.458),,(17.594.563.396),,(159.250.645.027),,(515.967.358.931),,(515.967.358.931),,10639972950.0,,,,-349762123458.0,,-17594563396.0,,-159250645027.0,,-515967358931.0,,-515967358931.0,
Tăng do hợp nhất các công ty con mới trong năm,Cổ tức > Tăng do hợp nhất các công ty con mới trong năm,Tăng do hợp nhất các công ty con mới trong năm,,,,,,,,,,,1.077.228.553.027,1.077.228.553.027,,1.077.228.553.027,,,,,,,,,,,1077228553027.0,1077228553027.0,,1077228553027.0
Tăng do sáp nhập một công ty liên kết với các công ty con của công ty liên kết này,Cổ tức > Tăng do sáp nhập một công ty liên kết với các công ty con của công ty liên kết này,Tăng do sáp nhập một công ty liên kết với các công ty con của công ty liên kết này,,,,,47.875.166.835,,,,13.621.322.464,,(3.033.938.245),61.496.489.299(3.033.938.245),,61.496.489.299(3.033.938.245),,,,,47875166835.0,,,,13621322464.0,,-3033938245.0,,,
Giảm do thoại vốn tai công ty con Phân số hữu của cổ đông thiểu sống giá phi khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày Tập đoàn năm quyền kiểm soát các công ty con cấp 1 này,Cổ tức > Giảm do thoại vốn tai công ty con Phân số hữu của cổ đông thiểu sống giá phi khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày Tập đoàn năm quyền kiểm soát các công ty con cấp 1 này,Giảm do thoại vốn tai công ty con Phân số hữu của cổ đông thiểu sống giá phi khoản đầu tư của công ty con cấp 1 vào công ty con cấp 2 tại ngày Tập đoàn năm quyền kiểm soát các công ty con cấp 1 này,,,,,,,,,,,(202.623.976.500),(202.623.976.500),,(202.623.976.500),,,,,,,,,,,-202623976500.0,-202623976500.0,,-202623976500.0
Giảm phần lớn ích cổ đông thiểu sống ứng với phần số hữu của các công ty con mã Tập đoàn năm quyền kiểm soát trong năm tại các công ty con khác của Tập đoàn,Cổ tức > Giảm phần lớn ích cổ đông thiểu sống ứng với phần số hữu của các công ty con mã Tập đoàn năm quyền kiểm soát trong năm tại các công ty con khác của Tập đoàn,Giảm phần lớn ích cổ đông thiểu sống ứng với phần số hữu của các công ty con mã Tập đoàn năm quyền kiểm soát trong năm tại các công ty con khác của Tập đoàn,,,,,,,,,,,(21.062.279.263),(21.062.279.263),,(21.062.279.263),,,,,,,,,,,-21062279263.0,-21062279263.0,,-21062279263.0
Chênh lệch phát sinh khi Tập đoàn tăng ty lệ so hữu tại một công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con này,Cổ tức > Chênh lệch phát sinh khi Tập đoàn tăng ty lệ so hữu tại một công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con này,Chênh lệch phát sinh khi Tập đoàn tăng ty lệ so hữu tại một công ty con nhưng không thay đổi quyền kiểm soát đối với công ty con này,,,,,,,,,(31.777.582.926),,(90.363.217.074),(122.140.800.000),,(122.140.800.000),,,,,,,,,-31777582926.0,,-90363217074.0,-122140800000.0,,-122140800000.0
Chênh lệch phát sinh khi Công ty me - Tập đoàn Đet-May Việt Nam định Partial Miami giá trị khoản đầu tư tại thời điểm chuyển sang công ty cổ phần - đã điều chỉnh lại,Cổ tức > Chênh lệch phát sinh khi Công ty me - Tập đoàn Đet-May Việt Nam định Partial Miami giá trị khoản đầu tư tại thời điểm chuyển sang công ty cổ phần - đã điều chỉnh lại,Chênh lệch phát sinh khi Công ty me - Tập đoàn Đet-May Việt Nam định Partial Miami giá trị khoản đầu tư tại thời điểm chuyển sang công ty cổ phần - đã điều chỉnh lại,,,- (418.630.985.392),,,,,,,,(418.630.985.392),,(418.630.985.392),,,,,,,,,,,,-418630985392.0,,-418630985392.0,
Phân loại lai,Cổ tức > Phân loại lai,Phân loại lai,,,- 802.727.148.601,(802.727.148.601),80.071.211.315,(80.071.211.315),,,,,,,,,,,-802727148601.0,-802727148601.0,80071211315.0,-80071211315.0,,,,,,,,
Các biến động khác về vốn chủ sở hữu - đã điều chỉnh lại,Cổ tức > Các biến động khác về vốn chủ sở hữu - đã điều chỉnh lại,Các biến động khác về vốn chủ sở hữu - đã điều chỉnh lại,(11.487.200.338),,8.660.809.929,,2.803.329.943,(149.107.629),212.797.597,(129.046.093),(10.835.481.689),,(2.836.562.388),(13.760.460.668),(228.190.418),(13.988.651.086),-11487200338.0,,8660809929.0,,2803329943.0,-149107629.0,212797597.0,-129046093.0,-10835481689.0,,-2836562388.0,-13760460668.0,-228190418.0,-13988651086.0
Số dư tại ngày 1/1/2015 - đã điều chỉnh lại,Cổ tức > Số dư tại ngày 1/1/2015 - đã điều chỉnh lại,Số dư tại ngày 1/1/2015 - đã điều chỉnh lại,4.299.595.911.499,,- 770.234.193.045,(803.152.512.757),388.519.949.500,,,10.735.145.017,207.834.918.253,2.760.607.380,1.612.907.276.735,6.489.435.488.672,43.125.910.033,6.532.561.398.705,4299595911499.0,,-770234193045.0,-803152512757.0,388519949500.0,,,10735145017.0,207834918253.0,2760607380.0,1612907276735.0,6489435488672.0,43125910033.0,6532561398705.0
Số dư tại ngày 1/1/2015 - đã bảo cáo trước độ,Cổ tức > Số dư tại ngày 1/1/2015 - đã bảo cáo trước độ,Số dư tại ngày 1/1/2015 - đã bảo cáo trước độ,,4.299.595.911.499,,386.138.029.836,(425.364.156),308.448.738.185,80.071.211.315,10.735.145.017,212.848.004.910,2.760.607.380,1.612.907.276.735,6.913.079.560.721,43.125.910.033,6.956.205.470.754,,4299595911499.0,,386138029836.0,-425364156.0,308448738185.0,80071211315.0,10735145017.0,212848004910.0,2760607380.0,1612907276735.0,6913079560721.0,43125910033.0,6956205470754.0
Điều chỉnh lại (Thuyết minh 3),Cổ tức > Điều chỉnh lại (Thuyết minh 3),Điều chỉnh lại (Thuyết minh 3),,,- 384.096.163.209,(802.727.148.601),80.071.211.315,(80.071.211.315),,,(5.013.086.657),,(423.644.072.049),,(423.644.072.049),,,,-384096163209.0,-802727148601.0,80071211315.0,-80071211315.0,,,-5013086657.0,,-423644072049.0,,-423644072049.0,
