row_label_raw,row_label_full,col_0,Hoạt động khai thác trồng rừng,Kinh doanh thương mại gỗ,Bản thành phẩm sản xuất từ gỗ,Doanh thu cung cấp dịch vụ,Hoạt động kinh doanh bắt động sản,Khác,Loại trừ,Tổng cộng,numeric__Hoạt động khai thác trồng rừng,numeric__Kinh doanh thương mại gỗ,numeric__Bản thành phẩm sản xuất từ gỗ,numeric__Doanh thu cung cấp dịch vụ,numeric__Hoạt động kinh doanh bắt động sản,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,,,7.286.955.134,,,,,,,,7286955134.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,,331.495.159.913,,,,,,,,331495159913.0
Tải sản và công nợ,Kết quả > Tải sản và công nợ,Tải sản và công nợ,669.850.386.085,80.925.153.563,167.169.385.564,153.548.879.894,-,33.117.606.307,-,1.104.611.411.413,669850386085.0,80925153563.0,167169385564.0,153548879894.0,,33117606307.0,,1104611411413.0
Tải sản bộ phận,Kết quả > Tải sản bộ phận,Tải sản bộ phận,,,,,,,,4.492.020.017.392,,,,,,,,4492020017392.0
Tải sản không phân bổ (ii),Kết quả > Tải sản không phân bổ (ii),Tải sản không phân bổ (ii),,,,,,,,5.596.630.009.919,,,,,,,,5596630009919.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,,,,,,,,
Nợ phải trả bộ phận,Tổng tài sản > Nợ phải trả bộ phận,Nợ phải trả bộ phận,85.577.386.019,184.173.737.775,144.494.500.653,62.625.292.630,-,9.310.609.965,-,486.181.527.044,85577386019.0,184173737775.0,144494500653.0,62625292630.0,,9310609965.0,,486181527044.0
Nợ phải trả không phân bổ (iii),Tổng tài sản > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,,36.272.309.292,,,,,,,,36272309292.0
Tổng nợ phải trả,Tổng tài sản > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,524.091.293.556,,,,,,,,524091293556.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,,,
Chi phí hình thành tài sản cổ định,Chi phí hình thành tài sản cổ định,Chi phí hình thành tài sản cổ định,,,,,,,,,,,,,,,,
Tải sản cổ định hữu hình,Chi phí hình thành tài sản cổ định > Tải sản cổ định hữu hình,Tải sản cổ định hữu hình,4.703.568.826,30.143.510.629,-,2.706.929.861,-,26.041.583.430,-,63.595.592.746,4703568826.0,30143510629.0,,2706929861.0,,26041583430.0,,63595592746.0
Khấu hao và hao mòn,Chi phí hình thành tài sản cổ định > Khấu hao và hao mòn,Khấu hao và hao mòn,4.411.199.408,6.586.101.080,15.345.986.909,14.062.584.178,-,2.704.906.426,-,43.110.778.001,4411199408.0,6586101080.0,15345986909.0,14062584178.0,,2704906426.0,,43110778001.0
