row_label_raw,row_label_full,Ngày 31/12/2016 > Giá trị ghi số:,Dưới 1 năm > Ngày 31/12/2016 > Giá trị ghi số:,Từ 1 năm trở lên > Ngày 31/12/2016 > Giá trị ghi số:,Tổng cộng > Ngày 31/12/2016 > Giá trị ghi số:,numeric__Dưới 1 năm > Ngày 31/12/2016 > Giá trị ghi số:,numeric__Từ 1 năm trở lên > Ngày 31/12/2016 > Giá trị ghi số:,numeric__Tổng cộng > Ngày 31/12/2016 > Giá trị ghi số:
Tiền và các khoản tương đương tiền,Giá trị ghi số: > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,74.664.858.126,-,74.664.858.126,74664858126.0,,74664858126.0
Phải thu khách hàng,Giá trị ghi số: > Phải thu khách hàng,Phải thu khách hàng,2.360.955.159.129,-,2.360.955.159.129,2360955159129.0,,2360955159129.0
Đầu tư,Giá trị ghi số: > Đầu tư,Đầu tư,-,941.247.404.569,941.247.404.569,,941247404569.0,941247404569.0
Phải thu khác,Giá trị ghi số: > Phải thu khác,Phải thu khác,176.981.693.449,6.948.429.378,183.930.122.827,176981693449.0,6948429378.0,183930122827.0
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,-,-,-,,,
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(166.933.656),,(166.933.656),-166933656.0,,-166933656.0
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,2.612.434.777.048,948.195.833.947,3.560.630.610.995,2612434777048.0,948195833947.0,3560630610995.0
Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,Ngày 15/01/2016,,,
Các khoản vay và nợ,Ngày 15/01/2016 > Các khoản vay và nợ,Các khoản vay và nợ,2.522.408.999.823,16.505.103.088.823,19.027.512.088.646,2522408999823.0,16505103088823.0,19027512088646.0
Phải trả người bán,Ngày 15/01/2016 > Phải trả người bán,Phải trả người bán,2.132.966.795.957,618.416.284.351,2.751.383.080.308,2132966795957.0,618416284351.0,2751383080308.0
"Phải trả, PN khác và chi phí phải trả","Ngày 15/01/2016 > Phải trả, PN khác và chi phí phải trả","Phải trả, PN khác và chi phí phải trả",494.222.208.654,-,494.222.208.654,494222208654.0,,494222208654.0
Tổng cộng,Ngày 15/01/2016 > Tổng cộng,Tổng cộng,5.149.598.004.434,17.123.519.373.174,22.273.117.377.608,5149598004434.0,17123519373174.0,22273117377608.0
Chênh lệch thanh khoản thuần,Ngày 15/01/2016 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.537.163.227.386),(16.175.323.539.227),(18.712.486.766.613),-2537163227386.0,-16175323539227.0,-18712486766613.0
