row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận chuyển,Thiết bivăn phòng,Vật nuôi và câytrống lâu năm,Tài sản khác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bivăn phòng,numeric__Vật nuôi và câytrống lâu năm,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(150.734.792),(97.251.042),(171.983.027),(1.358.982),(212.823.215),(6.486.524),(640.637.582),-150734792.0,-97251042.0,-171983027.0,-1358982.0,-212823215.0,-6486524.0,-640637582.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,11.178.600,592.837,2.267.987,11.950,129.412.645,360.290,143.824.309,11178600.0,592837.0,2267987.0,11950.0,129412645.0,360290.0,143824309.0
Thanh lý công ty con,Giá trị khấu hao lũy kế > Thanh lý công ty con,Thanh lý công ty con,146.696.388,304.811.314,55.689.831,178.284,-,1.433.654,508.809.471,146696388.0,304811314.0,55689831.0,178284.0,,1433654.0,508809471.0
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,857.213,2.410.190,327.556,(10.099),(561.267),2.556,3.026.149,857213.0,2410190.0,327556.0,-10099.0,-561267.0,2556.0,3026149.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(368.936.854),(262.077.872),(428.992.933),(8.019.623),(332.378.859),(26.786.048),(1.427.192.189),-368936854.0,-262077872.0,-428992933.0,-8019623.0,-332378859.0,-26786048.0,-1427192189.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,3.050.875.758,1.184.116.659,1.808.395.691,4.424.487,2.358.771.648,34.642.011,8.441.226.254,3050875758.0,1184116659.0,1808395691.0,4424487.0,2358771648.0,34642011.0,8441226254.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.306.848.232,303.801.875,1.778.372.918,2.990.822,4.172.130.002,25.940.963,8.590.084.812,2306848232.0,303801875.0,1778372918.0,2990822.0,4172130002.0,25940963.0,8590084812.0
Trong đó:Tài sản sử dụng để cầm cố /thế chấpcác khoản vay (TM số 24),Giá trị còn lại > Trong đó:Tài sản sử dụng để cầm cố /thế chấpcác khoản vay (TM số 24),Trong đó:Tài sản sử dụng để cầm cố /thế chấpcác khoản vay (TM số 24),2.306.848.232,303.801.875,1.778.372.918,-,4.172.130.002,25.940.963,8.587.093.990,2306848232.0,303801875.0,1778372918.0,,4172130002.0,25940963.0,8587093990.0
Nguyên giá của tài sản đã khấu hao hết,Giá trị còn lại > Nguyên giá của tài sản đã khấu hao hết,Nguyên giá của tài sản đã khấu hao hết,14.403.136,33.430.654,36.452.335,2.825.996,6.722.158,-,93.834.279,14403136.0,33430654.0,36452335.0,2825996.0,6722158.0,,93834279.0
