row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016(trình bày trước đây),Điều chỉnh vàphân loại lại,Ngàn VNDNgày 31 tháng 12năm 2016(trình bày lại),numeric__Ngày 31 tháng 12năm 2016(trình bày trước đây),numeric__Điều chỉnh vàphân loại lại,numeric__Ngàn VNDNgày 31 tháng 12năm 2016(trình bày lại)
Phải trả dài hạn khác,Bảng cân đối kế toán hợp nhất (tiếp theo) > Phải trả dài hạn khác,Phải trả dài hạn khác,1.424.575.759,(412.634.930),1.011.940.829,1424575759.0,-412634930.0,1011940829.0
Vay và nợ thuê tài chính dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,21.444.223.545,175.222.722,21.619.446.267,21444223545.0,175222722.0,21619446267.0
Thuế thu nhập hoãn lại phải trả,Bảng cân đối kế toán hợp nhất (tiếp theo) > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,287.204.877,105.970.840,393.175.717,287204877.0,105970840.0,393175717.0
Dự phòng phải trả dài hạn,Bảng cân đối kế toán hợp nhất (tiếp theo) > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,277.394.425,(264.924.032),12.470.393,277394425.0,-264924032.0,12470393.0
B Vốn chủ sở hữu,Bảng cân đối kế toán hợp nhất (tiếp theo) > B Vốn chủ sở hữu,B Vốn chủ sở hữu,16.649.774.422,(704.099.933),15.945.674.489,16649774422.0,-704099933.0,15945674489.0
I. Vốn chủ sở hữu,Bảng cân đối kế toán hợp nhất (tiếp theo) > I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,16.649.774.422,(704.099.933),15.945.674.489,16649774422.0,-704099933.0,15945674489.0
Chênh lệch tỷ giá hối đoái,Bảng cân đối kế toán hợp nhất (tiếp theo) > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,650.139.359,(24.220.551),625.918.808,650139359.0,-24220551.0,625918808.0
Lợi nhuận sau thuế chưa phân phối,Bảng cân đối kế toán hợp nhất (tiếp theo) > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,1.391.155.127,(438.454.936),952.700.191,1391155127.0,-438454936.0,952700191.0
- Lợi nhuận sau thuế chưaphân phối,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Lợi nhuận sau thuế chưaphân phối,- Lợi nhuận sau thuế chưaphân phối,2.527.805.613,(5.160.244),2.522.645.369,2527805613.0,-5160244.0,2522645369.0
- Lỗ lũy kế của năm nay,Bảng cân đối kế toán hợp nhất (tiếp theo) > - Lỗ lũy kế của năm nay,- Lỗ lũy kế của năm nay,(1.136.650.486),(433.294.692),(1.569.945.178),-1136650486.0,-433294692.0,-1569945178.0
Lợi ích của cổ đông thiểu số,Bảng cân đối kế toán hợp nhất (tiếp theo) > Lợi ích của cổ đông thiểu số,Lợi ích của cổ đông thiểu số,2.890.513.019,(241.424.446),2.649.088.573,2890513019.0,-241424446.0,2649088573.0
Bảo cáo kết quả hoạt động kinh doanh hợp nhấtDoanh thu bán hàng và cung cấp dịch vụ,Bảng cân đối kế toán hợp nhất (tiếp theo) > Bảo cáo kết quả hoạt động kinh doanh hợp nhấtDoanh thu bán hàng và cung cấp dịch vụ,Bảo cáo kết quả hoạt động kinh doanh hợp nhấtDoanh thu bán hàng và cung cấp dịch vụ,6.441.028.981,271.690.000,6.712.718.981,6441028981.0,271690000.0,6712718981.0
Doanh thu thuần về bán hàng và cungcấp dịch vụ,Bảng cân đối kế toán hợp nhất (tiếp theo) > Doanh thu thuần về bán hàng và cungcấp dịch vụ,Doanh thu thuần về bán hàng và cungcấp dịch vụ,6.439.779.268,271.690.000,6.711.469.268,6439779268.0,271690000.0,6711469268.0
