row_label_raw,row_label_full,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO),THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_5,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_1,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_2,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_3,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_4,numeric__THUYẾT MINH BÁO CÁO TÀI CHÍNH RIÊNG (TIẾP THEO)_5
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2018,Số dư tại 01/01/2018,3.224.653.045,297.772.141,5.817.369.290,1.400.521.199,10.740.315.675,3224653045.0,297772141.0,5817369290.0,1400521199.0,10740315675.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,3.457.207.998,11.333.328,2.339.379.191,142.268.760,5.950.189.277,3457207998.0,11333328.0,2339379191.0,142268760.0,5950189277.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,3.457.207.998,11.333.328,2.339.379.191,142.268.760,5.950.189.277,3457207998.0,11333328.0,2339379191.0,142268760.0,5950189277.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,1.306.939.625,31.742.856,1.229.644.444,77.136.373,2.645.463.298,1306939625.0,31742856.0,1229644444.0,77136373.0,2645463298.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,31.742.856,1.229.644.444,77.136.373,1.338.523.673,,31742856.0,1229644444.0,77136373.0,1338523673.0
Chuyển đổi mục đích sử dụng (*),GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển đổi mục đích sử dụng (*),Chuyển đổi mục đích sử dụng (*),1.306.939.625,-,-,-,1.306.939.625,1306939625.0,,,,1306939625.0
Số dư tại 31/12/2018,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2018,Số dư tại 31/12/2018,5.374.921.418,277.362.613,6.927.104.037,1.465.653.586,14.045.041.654,5374921418.0,277362613.0,6927104037.0,1465653586.0,14045041654.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại 01/01/2018,GIÁ TRỊ CÒN LẠI > Tại 01/01/2018,Tại 01/01/2018,191.418.073.594,18.888.896,11.865.288.892,160.711.234,203.462.962.616,191418073594.0,18888896.0,11865288892.0,160711234.0,203462962616.0
Tại 31/12/2018,GIÁ TRỊ CÒN LẠI > Tại 31/12/2018,Tại 31/12/2018,192.666.873.191,7.555.568,8.005.870.509,1.271.433.369,201.951.732.637,192666873191.0,7555568.0,8005870509.0,1271433369.0,201951732637.0
