row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị thuần,Số cuối năm > Dư phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị thuần,Số đầu năm > Dư phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị thuần,numeric__Số cuối năm > Dư phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị thuần,numeric__Số đầu năm > Dư phòng
,,,1.533.291.508.690,1.330.050.609.678,(203.240.899.012),1.163.479.862.846,924.781.757.531,(238.698.105.315),1533291508690.0,1330050609678.0,-203240899012.0,1163479862846.0,924781757531.0,-238698105315.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,,,
Công ty Cổ phần Tập đoàn Địa ốc SSG,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn Địa ốc SSG,Công ty Cổ phần Tập đoàn Địa ốc SSG,225.000.000.000,225.000.000.000,-,225.000.000.000,225.000.000.000,-,225000000000.0,225000000000.0,,225000000000.0,225000000000.0,
Tổng Công ty Hàng không Việt Nam,Cổ phiếu chưa niêm yết > Tổng Công ty Hàng không Việt Nam,Tổng Công ty Hàng không Việt Nam,139.670.784.543,139.670.784.543,-,-,-,-,139670784543.0,139670784543.0,,,,
Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,Cổ phiếu chưa niêm yết > Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,Công ty Cổ phần Đầu tư Phát triển điện Miền Bắc 2,100.792.067.440,100.682.684.580,(109.382.860),-,-,-,100792067440.0,100682684580.0,-109382860.0,,,
Công ty Cổ phần Tập đoàn HIPT,Cổ phiếu chưa niêm yết > Công ty Cổ phần Tập đoàn HIPT,Công ty Cổ phần Tập đoàn HIPT,56.925.000.000,12.518.295.300,(44.406.704.700),56.925.000.000,8.742.936.400,(48.182.063.600),56925000000.0,12518295300.0,-44406704700.0,56925000000.0,8742936400.0,-48182063600.0
Tổng Công ty Cổ phần Thiết bị điện Việt Nam,Cổ phiếu chưa niêm yết > Tổng Công ty Cổ phần Thiết bị điện Việt Nam,Tổng Công ty Cổ phần Thiết bị điện Việt Nam,2.968.291.116,2.968.291.116,-,180.897.856.607,179.814.310.001,(1.083.546.606),2968291116.0,2968291116.0,,180897856607.0,179814310001.0,-1083546606.0
Tổng Công ty Đầu tư Phát triển Đồ thị và Khu công nghiệp Việt Nam - TNHH MTV,Cổ phiếu chưa niêm yết > Tổng Công ty Đầu tư Phát triển Đồ thị và Khu công nghiệp Việt Nam - TNHH MTV,Tổng Công ty Đầu tư Phát triển Đồ thị và Khu công nghiệp Việt Nam - TNHH MTV,89.713.312.000,89.713.312.000,-,-,-,-,89713312000.0,89713312000.0,,,,
Khác,Cổ phiếu chưa niêm yết > Khác,Khác,151.342.090.544,101.210.888.285,(50.131.202.259),148.236.629.724,86.695.892.882,(61.540.736.842),151342090544.0,101210888285.0,-50131202259.0,148236629724.0,86695892882.0,-61540736842.0
,,,766.411.545.643,671.764.255.824,(94.647.289.819),611.059.486.331,500.253.139.283,(110.806.347.048),766411545643.0,671764255824.0,-94647289819.0,611059486331.0,500253139283.0,-110806347048.0
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,,,
Trái phiếu Chính phủ,Trái phiếu > Trái phiếu Chính phủ,Trái phiếu Chính phủ,-,-,-,746.868.956.229,746.868.956.229,-,,,,746868956229.0,746868956229.0,
Trái phiếu Tổ chức tin dụng,Trái phiếu > Trái phiếu Tổ chức tin dụng,Trái phiếu Tổ chức tin dụng,120.026.959.200,120.026.959.200,-,-,-,-,120026959200.0,120026959200.0,,,,
,,,120.026.959.200,120.026.959.200,-,746.868.956.229,746.868.956.229,-,120026959200.0,120026959200.0,,746868956229.0,746868956229.0,
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,,,
BVPF,Chứng chỉ quỹ > BVPF,BVPF,77.000.000.000,77.000.000.000,-,77.000.000.000,77.000.000.000,-,77000000000.0,77000000000.0,,77000000000.0,77000000000.0,
BVBF,Chứng chỉ quỹ > BVBF,BVBF,60.000.000.000,60.000.000.000,-,65.000.000.000,65.000.000.000,-,60000000000.0,60000000000.0,,65000000000.0,65000000000.0,
BVFED,Chứng chỉ quỹ > BVFED,BVFED,55.000.000.000,55.000.000.000,-,55.000.000.000,55.000.000.000,-,55000000000.0,55000000000.0,,55000000000.0,55000000000.0,
VF1,Chứng chỉ quỹ > VF1,VF1,16.576.432.682,16.576.432.682,-,16.576.432.682,16.576.432.682,-,16576432682.0,16576432682.0,,16576432682.0,16576432682.0,
Khác,Chứng chỉ quỹ > Khác,Khác,20.436.633.252,20.436.633.252,-,19.423.974.529,19.423.974.529,-,20436633252.0,20436633252.0,,19423974529.0,19423974529.0,
,,,229.013.065.934,229.013.065.934,-,233.000.407.211,233.000.407.211,-,229013065934.0,229013065934.0,,233000407211.0,233000407211.0,
,,,2.648.743.079.467,2.350.854.890.636,(297.888.188.831),2.754.408.712.617,2.404.904.260.254,(349.504.452.363),2648743079467.0,2350854890636.0,-297888188831.0,2754408712617.0,2404904260254.0,-349504452363.0
