row_label_raw,row_label_full,col_0,Số liệu theo báo cáo trước đây,Phân loại,Số liệu sau phân loại lại,numeric__Số liệu theo báo cáo trước đây,numeric__Phân loại,numeric__Số liệu sau phân loại lại
Lãi từ hoạt động đầu tư,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,(112.739.766.562),276.629.371,(112.463.137.191),-112739766562.0,276629371.0,-112463137191.0
Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu động,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lỗ từ hoạt động kinh doanh trước thay đổi vốn lưu động,(15.695.076.245),276.629.371,(15.418.446.874),-15695076245.0,276629371.0,-15418446874.0
Giảm các khoản phải thu,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Giảm các khoản phải thu,Giảm các khoản phải thu,193.496.408.252,(39.018.328.157),154.478.080.095,193496408252.0,-39018328157.0,154478080095.0
Giảm các khoản phải trả,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Giảm các khoản phải trả,Giảm các khoản phải trả,(24.596.437.577),9.208.737.718,(15.387.699.859),-24596437577.0,9208737718.0,-15387699859.0
Tiền lãi vay đã trả,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền lãi vay đã trả,Tiền lãi vay đã trả,(3.270.971.046),(12.949.665.055),(16.220.636.101),-3270971046.0,-12949665055.0,-16220636101.0
Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,(50.486.227.150),(42.482.626.123),(92.968.853.273),-50486227150.0,-42482626123.0,-92968853273.0
Tiền chi cho vay,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền chi cho vay,Tiền chi cho vay,(3.800.000.000),(2.700.000.000),(6.500.000.000),-3800000000.0,-2700000000.0,-6500000000.0
Tiền thu hồi cho vay,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền thu hồi cho vay,Tiền thu hồi cho vay,-,2.700.000.000,2.700.000.000,,2700000000.0,2700000000.0
Tiền chi đầu tư góp vốn vào đơn vị khác,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,(616.375.972.000),(5.404.896.000),(621.780.868.000),-616375972000.0,-5404896000.0,-621780868000.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,171.998.949.371,2.057.333.969,174.056.283.340,171998949371.0,2057333969.0,174056283340.0
"Tiền thu lãi cho vay, cổ tức được chia","BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền thu lãi cho vay, cổ tức được chia","Tiền thu lãi cho vay, cổ tức được chia",563.661.731,38.830.188.154,39.393.849.885,563661731.0,38830188154.0,39393849885.0
Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,(449.114.201.561),35.482.626.123,(413.631.575.438),-449114201561.0,35482626123.0,-413631575438.0
Tiền thu từ đi vay,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Tiền thu từ đi vay,Tiền thu từ đi vay,755.500.000.000,7.000.000.000,762.500.000.000,755500000000.0,7000000000.0,762500000000.0
Lưu chuyển tiền thuần từ hoạt động tài chính,BÁO CÁO LƯU CHUYỀN TIỀN TỆ RIÊNG > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,548.232.500.000,7.000.000.000,555.232.500.000,548232500000.0,7000000000.0,555232500000.0
